basis,purged_latest_rho,purged_latest_Delta_MSE,purged_latest_correction_rms,positive,bootstrap_CI95,bootstrap_P_Delta_MSE_lt_0,bootstrap_mean
interactions,0.002335159231785417,0.0013034329222349436,0.040398118270528534,False,"[0.0006481857433115152, 0.0019184689770748986]",0.0,0.001295884547712467
disagreement,-0.002296320810281339,0.000652779581532136,0.021861555383068266,False,"[0.0003161448892168121, 0.000998640399808682]",0.0,0.00065236365149444
transductive_rank_density,-0.003390285106779277,0.0012254406134332258,0.029596483156969576,False,"[0.0007690925476461309, 0.00167099361830041]",0.0,0.0012221221183247903
latent_state_k4,-0.0073407507881312305,0.0005627970394116559,0.014164602024554454,False,"[0.0003537610693433739, 0.0007823193890181367]",0.0,0.0005632376990316834
