cutoff,feature,rho_raw,rho_after_full_span,single_feature_optimal_gain
2025-09-04,z_x_pactive,0.017045951470807313,0.0020057278904531154,1.2581648944808081e-05
2025-09-04,z_x_count,0.020295940676942167,0.007289954995800823,0.00016620467312927046
2025-09-04,z_x_value,0.017289487233829132,0.010485431150800093,0.0003438476986401052
2025-09-04,seq_x_tab,0.022185187854824956,0.011079020407524608,0.0003838806847212887
2025-09-04,etx_x_tab,0.02135119303259665,0.011111100184877999,0.00038610698911779206
2025-09-04,other_x_tab,0.021619915172549846,0.010968740055155544,0.0003762764386325599
2025-09-04,seqtab_x_pactive,0.033082213292761224,0.0014878472234521817,6.923253179569804e-06
2025-09-04,etxtab_x_pactive,0.016469765753305395,-0.0014952407828291892,6.992231587621474e-06
2025-09-04,seqtab_x_count,0.02885557559768217,-0.0012235427118838253,4.682004265553442e-06
2025-09-04,etxtab_x_count,0.01807641328801549,0.00022161557996733516,1.5360102495933674e-07
2025-09-04,std_x_z,0.0027827009227747576,0.004043515383311134,5.113423175876909e-05
2025-09-04,std_x_pactive,-0.0038151400444221004,-0.002690871945552358,2.264537922059954e-05
2025-09-04,seqtab_x_etxtab,0.007016912629581545,-0.006701739325534737,0.00014046515366927315
2025-09-04,rank_z_x_rank_pactive,0.017316415793823713,0.0002531662348433905,2.0044955733574158e-07
2025-09-04,rank_z_x_rank_count,0.018260305839657022,0.004884280702737301,7.460960941431178e-05
2025-09-04,rank_std_x_rank_pactive,-0.0027390431538722973,0.0009516244871319445,2.8322054462171147e-06
2025-09-04,seqtab_squared,-0.008536868220654267,-0.006855010494488823,0.00014696360075919584
2025-09-04,etxtab_squared,0.0025614337107067314,-0.007044663873487841,0.0001552079949179573
2025-09-18,z_x_pactive,0.004016048524934078,-0.0015034575441342925,7.007755741782035e-06
2025-09-18,z_x_count,0.003180882300113383,0.0002138891222080772,1.4183193073700157e-07
2025-09-18,z_x_value,0.0034033406467012506,0.004518268484119502,6.329081476411636e-05
2025-09-18,seq_x_tab,0.005104543151820784,0.0026111678223885164,2.1138111730923433e-05
2025-09-18,etx_x_tab,0.004637798424695236,0.0028937675923430698,2.5961149364559557e-05
2025-09-18,other_x_tab,0.004778451273089686,0.002668678310370626,2.2079491666551676e-05
2025-09-18,seqtab_x_pactive,0.021102440442644657,-0.0005735862492736618,1.019985695786269e-06
2025-09-18,etxtab_x_pactive,0.011672169605820031,-0.0011754772198812806,4.283759227264458e-06
2025-09-18,seqtab_x_count,0.016598284011197638,-0.00428651435818325,5.696461731874708e-05
2025-09-18,etxtab_x_count,0.010495172978195327,-0.0013694336813383208,5.814048214687714e-06
2025-09-18,std_x_z,-0.0004915907031246436,0.0042793715992761,5.6774931484857626e-05
2025-09-18,std_x_pactive,-0.0028022044069553075,-0.00042185331579229306,5.517210482646044e-07
2025-09-18,seqtab_x_etxtab,0.004398225586920312,-0.005632763251005366,9.836477762019973e-05
2025-09-18,rank_z_x_rank_pactive,0.005100627323335467,-0.0015544823185198145,7.491489784683582e-06
2025-09-18,rank_z_x_rank_count,0.005821896340155688,0.002547183463949167,2.011486267457082e-05
2025-09-18,rank_std_x_rank_pactive,-0.00037829530538341057,0.0032555571046221604,3.285846367273298e-05
2025-09-18,seqtab_squared,-0.004936982043253808,-0.0076535179513158805,0.00018160124808873533
2025-09-18,etxtab_squared,0.004062487305634394,-0.002905010667520655,2.6163273527915863e-05
2025-10-02,z_x_pactive,-0.004147137471370256,-0.0029268041087892487,2.6204934964531786e-05
2025-10-02,z_x_count,-0.004713766103637935,-0.0026349306817829805,2.123900480557267e-05
2025-10-02,z_x_value,-0.005653681584454206,-0.005373931475705872,8.834460286358675e-05
2025-10-02,seq_x_tab,-0.004009325838801392,-0.0033257503771726648,3.383569271104012e-05
2025-10-02,etx_x_tab,-0.004251961115207522,-0.003212191224390667,3.15644740128709e-05
2025-10-02,other_x_tab,-0.004523627036313556,-0.0034014442203881283,3.5393416029358165e-05
2025-10-02,seqtab_x_pactive,0.017004356475971115,-0.002389461846949787,1.7466101313694086e-05
2025-10-02,etxtab_x_pactive,0.013366924415827798,-0.001763201877159463,9.51042342657498e-06
2025-10-02,seqtab_x_count,0.013554872056621325,-0.003695548596706645,4.177857371205263e-05
