cutoff,n,amplitude,rho_post_projection,b,G,baseline_RMSLE,corrected_RMSLE,Delta_MSE,Delta_RMSLE,sign,preclip_nonpositive
2025-09-04,188518,0.4,0.008247701724206496,0.0010251420244386815,0.004944352525817206,1.7720084671283545,1.7720002794466938,-2.9017215420192284e-05,-8.187681660665191e-06,gain,1
2025-09-18,191025,0.4,0.010143714550076288,0.0012058618874483012,0.00456147758419874,1.7674788610851868,1.7674124225224013,-0.00023485309648684112,-6.643856278554239e-05,gain,620
2025-10-02,193694,0.4,0.009521683653520373,0.0010899872424500457,0.004286641673288165,1.7512888450595596,1.7512357042111184,-0.00018612712623392854,-5.314084844121325e-05,gain,228
2025-10-16,197379,0.4,0.004969566026979803,0.00046537210097461076,0.002893277455467116,1.741328904826033,1.7413549269160282,9.062671209504607e-05,2.602208999524791e-05,loss,26
