cutoff,feature,pearson_residual,nonzero_share,mean,std
2025-09-04,of90_search_days,-0.014812032177399844,0.8170201253991661,6.055400371551514,7.89533805847168
2025-09-04,of90_cart_days,-0.021183511392498917,0.538123680497353,1.7685738801956177,3.207932949066162
2025-09-04,of90_funnel_days,-0.01490606065956953,0.8205317264133929,6.138501167297363,7.9474711418151855
2025-09-04,of90_search_no_order_days,-0.014812032177399844,0.8170201253991661,6.055400371551514,7.89533805847168
2025-09-04,of90_cart_no_order_days,-0.021183511392498917,0.538123680497353,1.7685738801956177,3.207932949066162
2025-09-04,of90_search_cart_days,-0.02136704889034551,0.5261513489428066,1.6854729652404785,3.109264373779297
2025-09-04,of90_searches,-0.008044727998909706,0.8170201253991661,19.00301742553711,42.30473327636719
2025-09-04,of90_carts,-0.01594596418496402,0.538123680497353,4.1449995040893555,12.462084770202637
2025-09-04,of90_search_to_cart,-0.01588379402612419,0.5178603634666186,3.7782440185546875,11.562828063964844
2025-09-04,of90_cat_to_cart,-0.0064974962696229925,0.12272568136729649,0.3667554259300232,2.3175649642944336
2025-09-04,of90_oldest_search_age,0.009397812557847192,0.9544446684136263,44.06511306762695,35.954776763916016
2025-09-04,of90_oldest_cart_age,0.015346678195577727,0.9707773263030586,58.363529205322266,36.131046295166016
2025-09-04,of90_search_span,-0.006128642068221072,0.683340582862114,23.32295036315918,29.111913681030273
2025-09-04,of90_cart_span,-0.013462872597459197,0.333331565155582,9.624131202697754,20.099809646606445
2025-09-18,of90_search_days,-0.020714674578649526,0.8190812720848056,6.173369884490967,7.9549784660339355
2025-09-18,of90_cart_days,-0.02179359529660195,0.5433529642716922,1.808894157409668,3.250988721847534
2025-09-18,of90_funnel_days,-0.02066113049570581,0.8225939013218165,6.258761882781982,8.008398056030273
2025-09-18,of90_search_no_order_days,-0.020714674578649526,0.8190812720848056,6.173369884490967,7.9549784660339355
2025-09-18,of90_cart_no_order_days,-0.02179359529660195,0.5433529642716922,1.808894157409668,3.250988721847534
2025-09-18,of90_search_cart_days,-0.022271774541174016,0.5311451380709331,1.7235021591186523,3.1507580280303955
2025-09-18,of90_searches,-0.01456586566902661,0.8190812720848056,19.401350021362305,42.63447189331055
2025-09-18,of90_carts,-0.014633218399833291,0.5433529642716922,4.242706298828125,13.617005348205566
2025-09-18,of90_search_to_cart,-0.014777109029815112,0.5227797408716137,3.859541893005371,12.745383262634277
2025-09-18,of90_cat_to_cart,-0.004333756492483387,0.12697814422196047,0.38316449522972107,2.519914150238037
2025-09-18,of90_oldest_search_age,0.009886617136787658,0.9554456223007459,44.11069107055664,35.68978500366211
2025-09-18,of90_oldest_cart_age,0.014499979213554413,0.9717890328491036,58.10126495361328,36.04212951660156
2025-09-18,of90_search_span,-0.011629200328645794,0.6883025781965711,23.58934211730957,29.023508071899414
2025-09-18,of90_cart_span,-0.01666886386728073,0.33935872268027745,9.784462928771973,20.107431411743164
2025-10-02,of90_search_days,-0.0213851762566217,0.8236599997934887,6.287525653839111,8.053930282592773
2025-10-02,of90_cart_days,-0.019577291994580418,0.548401086249445,1.8433560132980347,3.3000268936157227
2025-10-02,of90_funnel_days,-0.021085372957086762,0.8270261340051834,6.374022960662842,8.10677433013916
2025-10-02,of90_search_no_order_days,-0.0213851762566217,0.8236599997934887,6.287525653839111,8.053930282592773
2025-10-02,of90_cart_no_order_days,-0.019577291994580418,0.548401086249445,1.8433560132980347,3.3000268936157227
2025-10-02,of90_search_cart_days,-0.020597677578978176,0.5363305006866501,1.7568587064743042,3.199678659439087
2025-10-02,of90_searches,-0.012767517857250716,0.8236599997934887,19.816829681396484,42.83638381958008
2025-10-02,of90_carts,-0.010356943230612984,0.548401086249445,4.341657638549805,14.928903579711914
2025-10-02,of90_search_to_cart,-0.010986037510033284,0.5280132580255454,3.953235626220703,14.01776123046875
2025-10-02,of90_cat_to_cart,-0.00021522615719542836,0.12806282073786487,0.3884219527244568,2.87210750579834
2025-10-02,of90_oldest_search_age,-0.002226208872211581,0.9545313742294547,43.64823532104492,35.6156005859375
2025-10-02,of90_oldest_cart_age,0.008857813497074846,0.9710264644232656,57.68500900268555,36.13737487792969
2025-10-02,of90_search_span,-0.018614022342520818,0.6928041137051225,23.707843780517578,29.033235549926758
2025-10-02,of90_cart_span,-0.016985769633961027,0.344362757751918,9.91464900970459,20.189088821411133
2025-10-16,of90_search_days,-0.013400895618806802,0.8144027480127065,6.31557559967041,8.204050064086914
2025-10-16,of90_cart_days,-0.011104581518400138,0.5463803140151687,1.8654162883758545,3.351478099822998
2025-10-16,of90_funnel_days,-0.012999337636770667,0.8178174983154236,6.402738094329834,8.258489608764648
2025-10-16,of90_search_no_order_days,-0.013400895618806802,0.8144027480127065,6.31557559967041,8.204050064086914
2025-10-16,of90_cart_no_order_days,-0.011104581518400138,0.5463803140151687,1.8654162883758545,3.351478099822998
2025-10-16,of90_search_cart_days,-0.012245351818470402,0.534286828892638,1.7782540321350098,3.250498056411743
2025-10-16,of90_searches,-0.00793163832302387,0.8144027480127065,20.131357192993164,44.404998779296875
2025-10-16,of90_carts,-0.004440463920681949,0.5463803140151687,4.441414833068848,15.522829055786133
2025-10-16,of90_search_to_cart,-0.0048529181366036905,0.5261349991640448,4.042983531951904,14.432629585266113
2025-10-16,of90_cat_to_cart,0.00032321020202935607,0.1286611037648382,0.3984314501285553,3.439885377883911
2025-10-16,of90_oldest_search_age,-0.003136502806512696,0.9526292057412389,44.291221618652344,35.83163070678711
2025-10-16,of90_oldest_cart_age,0.0008710408958707102,0.9698752146884927,57.819271087646484,36.145484924316406
2025-10-16,of90_search_span,-0.01298472787241214,0.6846929004605353,23.64411163330078,29.157306671142578
2025-10-16,of90_cart_span,-0.012303769376176896,0.3451988306760091,10.057549476623535,20.411949157714844
