contrast,2025-09-04,2025-09-18,2025-10-02,2025-10-16,weighted,better
DISTxFRESH − DISTxCLEAN,-0.000775044027284677,-0.0007570293525689387,-0.0008068175818789491,-0.0012038064317756447,-0.0010097883009429006,4
DISTxVOL   − DISTxCLEAN,-0.000025045427229475337,-8.945384136538337e-6,0.00012388926953788015,-0.00003310164217640299,0.000012520516349182978,3
DISTxFRESH − BASE-1HEAD,-0.0003800613120834573,-0.001970912191681329,-0.003009907065159023,-0.0025790584907263714,-0.0024662654587928787,4
DISTxCLEAN − BASE-1HEAD,0.00039498271520121975,-0.0012138828391123901,-0.002203089483280074,-0.0013752520589507267,-0.001456477157849978,3
SEQxCLEAN − BASE-1HEAD,0.0013305446473850235,0.0013961812534943885,0.0012013371217576285,0.0005357083826249553,0.0008809281801602638,0
SEQxFRESH − SEQxCLEAN,-0.0009879979396749672,-0.0010045072857380877,-0.0011493854743636067,-0.0014487936975648985,-0.0012789935992749838,4
DISTxFRESH − DIST-TAB,-0.0003596420569369485,-0.000024469713734154297,0.0008920704559800541,0.0006386203108981192,0.0005512441884466608,2
