variant,corr_tab,var_div,solo,mix_seq_slot,mix_vs_base,mix_dist_slot,mix_d_vs_prod
BASE_1HEAD,0.9932585476095975,0.04108891059931017,1.747610527804558,1.7424221225327647,0.0,1.7425295735491018,0.00012670926327666975
DIST_TAB,0.9991734711394928,0.005029338825050421,1.7445930181573184,1.7436877507889206,0.001265628256155793,1.7424028642590208,-2.6804188498393462e-11
DIST_X_CLEAN,0.9971916551270135,0.01710143306704924,1.7461540506467081,1.7434293772414222,0.001007254708657405,1.742538856046202,0.00013599176037688566
DIST_X_FRESH,0.9974938725083299,0.015250589445991326,1.7451442623457651,1.743237578962883,0.000815456430117963,1.7423535469101261,-0.000049317375698961405
DIST_X_VOL,0.9971913371629685,0.0171066022414955,1.7461665711630574,1.7434329213244621,0.001010798791697424,1.7425410364657765,0.0001381721799513939
MHZ_B30_X_CLEAN,0.9963361627854483,0.022338681844699892,1.7474302314471555,1.7434976597436722,0.0010755372109075918,1.7426662590866604,0.00026339480083530374
MHZ_B30_X_FRESH,0.9966562831647471,0.020371462898031975,1.7463873041236069,1.7433027043119749,0.0008805817792100731,1.7424784657281174,0.00007560144229250554
MHZ_B30_X_VOL,0.9963353832515668,0.02234688318900408,1.747443542069094,1.7435012655203619,0.0010791429875970297,1.7426684809696733,0.0002656166838482873
MHZ_CNT_X_CLEAN,0.9965281792204668,0.021159375018415673,1.7470338267380527,1.7434494556483753,0.00102733311561057,1.7426396494924323,0.00023678520660728176
MHZ_CNT_X_FRESH,0.9968504059599691,0.01918159903183446,1.745986788771961,1.7432539767076307,0.0008318541748659609,1.7424514283276793,0.000048564041854115556
MHZ_CNT_X_VOL,0.9965268537187734,0.021170953956124103,1.7470480886887387,1.7434531443580619,0.0010310218252972032,1.742641935795427,0.00023907150960214747
S04LGB_X_CLEAN,0.9966697945743908,0.02028799248124848,1.7465142007582284,1.7433457645759292,0.0009236420431644039,1.7425255463062226,0.00012268202039765382
S04LGB_X_FRESH,0.9969638424998345,0.01848334261747496,1.7455186073191231,1.7431553526211683,0.0007332300884034175,1.742341025737595,-0.00006183854822987556
S04LGB_X_VOL,0.9966725029528026,0.020274517618310825,1.746520494807243,1.7433485559596669,0.0009264334269020698,1.7425271808191538,0.00012431653332889425
SEQ_X_CLEAN,0.9931974942001267,0.04148488419588895,1.7484914559847184,1.7426631528554237,0.00024103032265895645,1.7426117393228604,0.00020887503703520178
SEQ_X_FRESH,0.9936560025953833,0.038652458007611294,1.7472124623854435,1.742449030996218,0.00002690846345299036,1.7424086902279794,5.8259421542731595e-6
SEQ_X_VOL,0.9932464039374194,0.041187047357730835,1.7484140959553414,1.742657906771899,0.00023578423913419577,1.7426079062078261,0.0002050419220010813
[смесь с SEQ-01],0.9939700361132953,0.03674236766226209,1.7466741241343025,1.7424028642858251,-0.000019258246939735103,1.7424028642858251,0.0
