cutoff,fold_weight,score_quantile,model,n,score_mean,rmsle,residual_bias
2025-09-04,1.0,1,SEQ-01-MIX,37704,-7.6541290574586744,1.5702696462444996,0.03906829586201798
2025-09-04,1.0,1,S1-DIST-MIX,37704,-7.6541290574586744,1.5723061728463763,0.05633973767358637
2025-09-04,1.0,1,S1-ROUNDS,37704,-7.6541290574586744,1.574158553701297,0.04415228490802835
2025-09-04,1.0,1,S1-SEEDAVG3,37704,-7.6541290574586744,1.5733571135130513,0.04488441528917419
2025-09-04,1.0,2,SEQ-01-MIX,37704,-2.718608695851651,1.8648730167425802,-0.009348058552715742
2025-09-04,1.0,2,S1-DIST-MIX,37704,-2.718608695851651,1.866214979822238,-0.0013335834542100166
2025-09-04,1.0,2,S1-ROUNDS,37704,-2.718608695851651,1.8687685200439064,0.0044845137193949185
2025-09-04,1.0,2,S1-SEEDAVG3,37704,-2.718608695851651,1.8677902859534772,0.005493227185192429
2025-09-04,1.0,3,SEQ-01-MIX,37703,0.41189210523101677,1.9430893469300548,-0.028631075798668852
2025-09-04,1.0,3,S1-DIST-MIX,37703,0.41189210523101677,1.9450309641054249,-0.02912249270641981
2025-09-04,1.0,3,S1-ROUNDS,37703,0.41189210523101677,1.946213481963482,-0.014383501145513775
2025-09-04,1.0,3,S1-SEEDAVG3,37703,0.41189210523101677,1.946091838365553,-0.01595938099523928
2025-09-04,1.0,4,SEQ-01-MIX,37704,3.730537910351904,1.855469214084676,-0.015246987697053046
2025-09-04,1.0,4,S1-DIST-MIX,37704,3.730537910351904,1.8572684853206678,-0.028667824440611434
2025-09-04,1.0,4,S1-ROUNDS,37704,3.730537910351904,1.8596358222170157,-0.0254559597147248
2025-09-04,1.0,4,S1-SEEDAVG3,37704,3.730537910351904,1.8588618742332768,-0.026081767533539555
2025-09-04,1.0,5,SEQ-01-MIX,37703,6.914693299735588,1.5678955083858725,0.0141574423111413
2025-09-04,1.0,5,S1-DIST-MIX,37703,6.914693299735588,1.5689712487729373,0.002832562868362167
2025-09-04,1.0,5,S1-ROUNDS,37703,6.914693299735588,1.5706616260325574,-0.00879795259462304
2025-09-04,1.0,5,S1-SEEDAVG3,37703,6.914693299735588,1.569655393164442,-0.008337138347225439
2025-09-18,2.0,1,SEQ-01-MIX,38205,-7.6118989277472595,1.5405836877912502,0.04491550723889159
2025-09-18,2.0,1,S1-DIST-MIX,38205,-7.6118989277472595,1.5424286882172349,0.06253607602206017
2025-09-18,2.0,1,S1-ROUNDS,38205,-7.6118989277472595,1.5435987662335495,0.05925451523283627
2025-09-18,2.0,1,S1-SEEDAVG3,38205,-7.6118989277472595,1.5431202220652587,0.05863834899934818
2025-09-18,2.0,2,SEQ-01-MIX,38205,-2.6533650276564504,1.8545944001977703,-0.0004179859329423939
2025-09-18,2.0,2,S1-DIST-MIX,38205,-2.6533650276564504,1.8561199116908502,0.007058235332163905
2025-09-18,2.0,2,S1-ROUNDS,38205,-2.6533650276564504,1.858622594500483,0.015523458849865333
2025-09-18,2.0,2,S1-SEEDAVG3,38205,-2.6533650276564504,1.8574451993812193,0.016078495482544516
2025-09-18,2.0,3,SEQ-01-MIX,38205,0.48702421304224197,1.9329056273282614,-0.017449498004773124
2025-09-18,2.0,3,S1-DIST-MIX,38205,0.48702421304224197,1.934215952699234,-0.016300091083978722
2025-09-18,2.0,3,S1-ROUNDS,38205,0.48702421304224197,1.937340722073282,-0.004228084112589751
2025-09-18,2.0,3,S1-SEEDAVG3,38205,0.48702421304224197,1.936276091716169,-0.004488544476332194
2025-09-18,2.0,4,SEQ-01-MIX,38205,3.7269501141362316,1.8508444417122805,-0.02799059428853132
2025-09-18,2.0,4,S1-DIST-MIX,38205,3.7269501141362316,1.8528977952457317,-0.03887462376285448
2025-09-18,2.0,4,S1-ROUNDS,38205,3.7269501141362316,1.8549909421321118,-0.04015833920121241
2025-09-18,2.0,4,S1-SEEDAVG3,38205,3.7269501141362316,1.8544354340100897,-0.040574057305466545
2025-09-18,2.0,5,SEQ-01-MIX,38205,6.871344932600585,1.5910501610481922,0.0009425709873558152
2025-09-18,2.0,5,S1-DIST-MIX,38205,6.871344932600585,1.5920135907079054,-0.014419596507391172
2025-09-18,2.0,5,S1-ROUNDS,38205,6.871344932600585,1.5940882034555317,-0.03039155076889941
2025-09-18,2.0,5,S1-SEEDAVG3,38205,6.871344932600585,1.5933971720367432,-0.02965424270009375
2025-10-02,4.0,1,SEQ-01-MIX,38739,-7.654670895473796,1.530116728075757,0.054153038997020085
2025-10-02,4.0,1,S1-DIST-MIX,38739,-7.654670895473796,1.5314801933847295,0.06005333576320093
2025-10-02,4.0,1,S1-ROUNDS,38739,-7.654670895473796,1.5327830698368035,0.0628670906814756
2025-10-02,4.0,1,S1-SEEDAVG3,38739,-7.654670895473796,1.532185723393246,0.06195969162544271
2025-10-02,4.0,2,SEQ-01-MIX,38739,-2.6795040094420712,1.8346857402232393,0.02416237085966999
2025-10-02,4.0,2,S1-DIST-MIX,38739,-2.6795040094420712,1.8359732127720423,0.029972290688258164
2025-10-02,4.0,2,S1-ROUNDS,38739,-2.6795040094420712,1.8372766273439993,0.040061814790110804
2025-10-02,4.0,2,S1-SEEDAVG3,38739,-2.6795040094420712,1.836771278005397,0.0393785952483626
2025-10-02,4.0,3,SEQ-01-MIX,38739,0.47741629077645154,1.9314432486484623,-0.003404009788204021
2025-10-02,4.0,3,S1-DIST-MIX,38739,0.47741629077645154,1.932410589375795,-0.0014107848657305467
2025-10-02,4.0,3,S1-ROUNDS,38739,0.47741629077645154,1.9348530071265373,0.007216595499923744
2025-10-02,4.0,3,S1-SEEDAVG3,38739,0.47741629077645154,1.9339797794442652,0.007656872976180106
2025-10-02,4.0,4,SEQ-01-MIX,38739,3.6866169200345675,1.8357915350931024,-0.05092008835079068
