segment,exp,n,share,rmsle,auc,mse_share,d_rmsle,d_auc
ВСЕ,SEQ-03A-BASE-S42,197379,1.0,1.7480797590300503,0.8424762537908504,1.0,0.0,0.0
ВСЕ,SEQ-03A-B-S42,197379,1.0,1.749861681425868,0.8412300785515747,1.0,0.0017819223958177588,-0.0012461752392757264
ВСЕ,SEQ-03A-A25-S42,197379,1.0,1.7491325780358982,0.8419025876760284,1.0,0.0010528190058478604,-0.0005736661148220135
rec_buy 15-60,SEQ-03A-BASE-S42,56145,0.28445275333242137,1.9440249265014309,0.719212535224458,0.3517963360031724,0.0,0.0
rec_buy 15-60,SEQ-03A-B-S42,56145,0.28445275333242137,1.9471113763063883,0.7165821107635598,0.35219589370991433,0.003086449804957425,-0.0026304244608982286
rec_buy 15-60,SEQ-03A-A25-S42,56145,0.28445275333242137,1.9448197768102735,0.7185955706300579,0.3516603538735913,0.0007948503088426317,-0.0006169645944001934
w180_days_buy 2-15,SEQ-03A-BASE-S42,111441,0.5646041372182451,1.950534637685446,0.7140964364286941,0.7029572294888345,0.0,0.0
w180_days_buy 2-15,SEQ-03A-B-S42,111441,0.5646041372182451,1.9519299877560998,0.7123199253241322,0.7025303429429371,0.0013953500706538335,-0.0017765111045618953
w180_days_buy 2-15,SEQ-03A-A25-S42,111441,0.5646041372182451,1.94985225049235,0.7143643083993725,0.7016200752889408,-0.0006823871930961012,0.0002678719706783461
пересечение,SEQ-03A-BASE-S42,45667,0.23136706539196167,1.985104505471184,0.6765687856176001,0.29836357341124825,0.0,0.0
пересечение,SEQ-03A-B-S42,45667,0.23136706539196167,1.9880754493591755,0.6732087327244867,0.2986481443168477,0.002970943887991462,-0.0033600528931134743
пересечение,SEQ-03A-A25-S42,45667,0.23136706539196167,1.9853049524829398,0.6759126995590751,0.29806469131607444,0.00020044701175581103,-0.0006560860585250738
rec_buy 0-14,SEQ-03A-BASE-S42,91095,0.4615232623531379,1.7135673571384498,0.7964630794271252,0.4434794174271968,0.0,0.0
rec_buy 0-14,SEQ-03A-B-S42,91095,0.4615232623531379,1.7123851044299296,0.7968270314091228,0.44196617879419675,-0.0011822527085201262,0.00036395198199756784
rec_buy 0-14,SEQ-03A-A25-S42,91095,0.4615232623531379,1.7115728767689278,0.7980427426518238,0.44191518979368627,-0.0019944803695219893,0.001579663224698602
rec_buy 61-180,SEQ-03A-BASE-S42,24231,0.12276381985925554,1.8245767421657324,0.654929252269435,0.1337433429182234,0.0,0.0
rec_buy 61-180,SEQ-03A-B-S42,24231,0.12276381985925554,1.8253693916716518,0.6527263334900658,0.13358708675329936,0.0007926495059193961,-0.0022029187793691785
rec_buy 61-180,SEQ-03A-A25-S42,24231,0.12276381985925554,1.8245253963079817,0.655036738734355,0.13357487043016106,-0.00005134585775068423,0.00010748646491998137
rec_buy 180+,SEQ-03A-BASE-S42,5524,0.027986766575978195,1.5927263835593124,0.5816237255473552,0.023233390164397526,0.0,0.0
rec_buy 180+,SEQ-03A-B-S42,5524,0.027986766575978195,1.5936417144228674,0.5731683616989008,0.02321275361385856,0.0009153308635549973,-0.008455363848454356
rec_buy 180+,SEQ-03A-A25-S42,5524,0.027986766575978195,1.5943383845819565,0.5736830920875187,0.023252426077445865,0.0016120010226441384,-0.007940633459836532
никогда не покупал,SEQ-03A-BASE-S42,20384,0.103273397879207,1.188618241551764,0.6013324691784565,0.0477475134870098,0.0,0.0
никогда не покупал,SEQ-03A-B-S42,20384,0.103273397879207,1.2058026899114007,0.5870984230930862,0.04903808712873098,0.017184448359636617,-0.014234046085370267
никогда не покупал,SEQ-03A-A25-S42,20384,0.103273397879207,1.2121514888080527,0.5823704555570043,0.04959715982511544,0.02353324725628858,-0.018962013621452223
w180_days_buy 0-1,SEQ-03A-BASE-S42,42698,0.21632493831663957,1.4683258851408723,0.684309319136065,0.1526261714594235,0.0,0.0
w180_days_buy 0-1,SEQ-03A-B-S42,42698,0.21632493831663957,1.4759251558209274,0.6740839456562072,0.15389617165605626,0.00759927068005517,-0.010225373479857747
w180_days_buy 0-1,SEQ-03A-A25-S42,42698,0.21632493831663957,1.4777688249520466,0.673883120882057,0.1544095410083554,0.009442939811174389,-0.010426198254007923
w180_days_buy 16+,SEQ-03A-BASE-S42,43240,0.21907092446511534,1.4193105479593335,0.7243364364073728,0.1444165990517421,0.0,0.0
w180_days_buy 16+,SEQ-03A-B-S42,43240,0.21907092446511534,1.4166040278938972,0.7252173749942701,0.14357348540100648,-0.0027065200654363686,0.0008809385868973063
w180_days_buy 16+,SEQ-03A-A25-S42,43240,0.21907092446511534,1.4179696627776666,0.72593256509208,0.14397038370270376,-0.0013408851816669731,0.0015961286847072653
