fold,amount_bin,n_zero,share_of_all_zero_users,mean_prediction,mean_squared_log_error,share_of_total_zero_error,share_of_total_error
2025-09-04,"[0, 1)",27463,0.3643612434160774,0.3371555966574801,0.3231830801439489,0.034046583026653594,0.015080926007997214
2025-09-04,"[1, 3)",17694,0.23475249757870856,1.8481257840273866,1.7017859306516008,0.11550689008537551,0.051163750013553985
2025-09-04,"[3, 10)",18316,0.24300478951348625,5.621869679343045,4.539484884847439,0.31894378841683274,0.14127607666411215
2025-09-04,"[10, 30)",9000,0.11940615339710506,16.710393462263514,9.651858974801167,0.3332195061630004,0.14759950250900428
2025-09-04,"[30, 50)",1752,0.02324439786130312,38.008461762883805,15.35518849321783,0.10319679109220367,0.04571099453668837
2025-09-04,"[50, 100)",916,0.012152892945749805,67.35587317870672,20.012214636331358,0.0703181708416383,0.031147417367853435
2025-09-04,"[100, +inf)",232,0.0030780252875698194,159.33115019859002,27.83112460312941,0.024768270374295874,0.010971099583426808
2025-09-18,"[0, 1)",27641,0.37136408217006356,0.3247226169957268,0.36389427791375584,0.03841972760221261,0.016988771902277672
2025-09-18,"[1, 3)",17375,0.23343768053633568,1.8505918888243158,1.8330510799926258,0.12165352133389382,0.053793820363561555
2025-09-18,"[3, 10)",18184,0.24430680764735124,5.5868044840361994,4.726211061714484,0.328267463126257,0.14515618412844117
2025-09-18,"[10, 30)",8538,0.11471026857089116,16.72700791722152,9.963527778333402,0.32493357612173307,0.14368197675106864
2025-09-18,"[30, 50)",1653,0.0222084883986511,37.86816551486326,15.71646951129041,0.09923232154675052,0.043879417718571505
2025-09-18,"[50, 100)",812,0.010909432897582996,67.27838436631384,20.432391448404896,0.06337245525424585,0.028022587727552707
2025-09-18,"[100, +inf)",228,0.0030632397791242895,148.16903889565526,27.697080148032047,0.024120935014907124,0.010666006466280102
2025-10-02,"[0, 1)",27900,0.37164322250639387,0.3397440122469692,0.3751027375963244,0.04025048458511443,0.017670254500413617
2025-10-02,"[1, 3)",18251,0.2431132779198636,1.8494560698821274,1.8232337046629938,0.12798105387018863,0.05618461035755376
2025-10-02,"[3, 10)",17930,0.23883738277919864,5.527371653950113,4.673400304804915,0.3222774720642489,0.14148214635982945
2025-10-02,"[10, 30)",8307,0.11065377237851662,16.793511683057552,9.968269147004483,0.3184788836996866,0.13981453853259476
2025-10-02,"[30, 50)",1510,0.020114023870417733,38.0866485285543,15.732427458286068,0.09136699920584196,0.040110774952095564
2025-10-02,"[50, 100)",905,0.012055093776641091,66.37168344319404,20.292855006218844,0.07063312284794815,0.03100845293534186
2025-10-02,"[100, +inf)",269,0.0035832267689684567,153.39085490171112,28.041966678237436,0.029011983726971426,0.012736471158089686
2025-10-16,"[0, 1)",28957,0.3789538429324853,0.3371422990851003,0.36598356839544416,0.04055227835989266,0.017708333828663464
2025-10-16,"[1, 3)",18326,0.23982830146702785,1.8490037373351451,1.8066446856360538,0.1266894748868613,0.05532265028278807
2025-10-16,"[3, 10)",17956,0.2349861934487587,5.519663925197547,4.640773139589265,0.3188599997826128,0.13923950882973307
2025-10-16,"[10, 30)",8423,0.11022993469697565,16.76618200720553,9.92133897509507,0.3197696155052275,0.13963671903649155
2025-10-16,"[30, 50)",1571,0.020559328910002225,37.92150415240269,15.651396503780493,0.0940869487895108,0.04108580739406403
2025-10-16,"[50, 100)",895,0.011712666692840223,67.50789233297532,20.38782202824481,0.06982227176495982,0.0304899292246041
2025-10-16,"[100, +inf)",285,0.003729731851910015,148.3059503027114,27.710287271994453,0.03021941091093508,0.013196186210973964
AGGREGATE,"[0, 1)",111961,0.3749921772982888,0.33618424371893313,0.36525787001775334,0.03973267674099973,0.017421732619708537
AGGREGATE,"[1, 3)",71646,0.23949933797702483,1.8492738929310488,1.8075148451346361,0.12557761304228907,0.055062476955810964
AGGREGATE,"[3, 10)",72386,0.2378077598988822,5.538115597470835,4.654129174198407,0.32106316936416435,0.14077774641663696
AGGREGATE,"[10, 30)",34268,0.11157161587510253,16.76391020645045,9.919734465911269,0.3210552703988655,0.14077428292832717
AGGREGATE,"[30, 50)",6486,0.020845662684994246,37.962956916265604,15.658807949150253,0.09468919780071597,0.041518720140908884
AGGREGATE,"[50, 100)",3528,0.011726558081342733,67.15773217066113,20.34067954352289,0.06919298242749398,0.030339300995749136
AGGREGATE,"[100, +inf)",1014,0.003556888184364421,150.30788849635596,27.804848295214658,0.02868909022547136,0.012579410701899761
