method,outer_fold,fitting_folds,amount_bin,amount_bin_id,p0_bin,p0_lo,p0_hi,n_cell,weight_sum,c_raw,reliability,c_pre_isotonic,correction,eligible
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,0,-inf,0.09687327412502003,44381,1.0727921438802035,0.0210498073737271,0.6893493421972321,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,1,0.09687327412502003,0.2581530812344921,6574,0.1576538559524178,0.05377306549613071,0.24738466169940543,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,2,0.2581530812344921,0.4511939753109917,29,0.0007065339760379744,-0.5607555219493083,0.0014479005442108942,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,3,0.4511939753109917,0.674640752206303,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,0,-inf,0.09687327412502003,49319,1.1946204564071268,0.02852221552939954,0.7114788153320157,0.0,0.0,True
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,1,0.09687327412502003,0.2581530812344921,435,0.010840960562230682,0.0759229860037675,0.02128700758502569,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,2,0.2581530812344921,0.4511939753109917,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,3,0.4511939753109917,0.674640752206303,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-04,"[""2025-09-18"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,4,0.674640752206303,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,0,-inf,0.0975679353960404,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,1,0.0975679353960404,0.25977919270001687,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,2,0.25977919270001687,0.4528318957090087,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,3,0.4528318957090087,0.6760979306111276,875,0.020517261043798272,0.08475473449579388,0.041916167664670656,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[0, 1)",0,4,0.6760979306111276,inf,99295,2.233317255556405,-0.024920486124126843,0.8323483800662224,-0.02074252625587975,-0.02074252625587975,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,0,-inf,0.0975679353960404,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,1,0.0975679353960404,0.25977919270001687,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,2,0.25977919270001687,0.4528318957090087,378,0.01003648394381551,-0.09311894284389852,0.018549416036902543,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,3,0.4528318957090087,0.6760979306111276,69381,1.5685618414634381,-0.008039921646038159,0.7762387979548226,-0.0062408991141716195,-0.0062408991141716195,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[1, 3)",1,4,0.6760979306111276,inf,16607,0.368267746693414,-0.021584208469537926,0.4536564045127981,-0.00979181440854526,-0.00979181440854526,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,0,-inf,0.0975679353960404,2,6.118229099620761e-05,-2.3752553664021594,9.999000099990002e-05,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,1,0.0975679353960404,0.25977919270001687,2226,0.05913391670247215,0.07826550671753353,0.10015297399442095,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,2,0.25977919270001687,0.4528318957090087,80193,1.81685413247793,-0.010581733594799568,0.8003852564550418,-0.008469463557012584,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,3,0.4528318957090087,0.6760979306111276,45510,0.9922086899902672,-0.01545800499168393,0.6947030987635475,-0.010738723968425212,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[3, 10)",2,4,0.6760979306111276,inf,16,0.0003576186852357664,-1.6764336725556888,0.0007993605115907274,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,0,-inf,0.0975679353960404,2645,0.06606261315185435,0.01615861020465946,0.11680282623095606,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,1,0.0975679353960404,0.25977919270001687,79400,1.791384620884246,0.009703395385685838,0.7987927565392354,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,2,0.25977919270001687,0.4528318957090087,35009,0.7439777187058416,-0.0071989192084466825,0.636423130760421,-0.004581558700730969,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,3,0.4528318957090087,0.6760979306111276,152,0.0034793493801122686,-0.17521065873266847,0.007542675664946407,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[10, 30)",3,4,0.6760979306111276,inf,1,4.053116086311107e-05,-2.8336474401852896,4.999750012499375e-05,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,0,-inf,0.0975679353960404,20052,0.46521270683329996,0.044070974179767824,0.5006491560970738,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,1,0.0975679353960404,0.25977919270001687,27361,0.5890733663040872,0.03356377165238507,0.577711619264796,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,2,0.25977919270001687,0.4528318957090087,308,0.006750758783255653,-0.18785184869008176,0.015166436872168603,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,3,0.4528318957090087,0.6760979306111276,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[30, 50)",4,4,0.6760979306111276,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,0,-inf,0.0975679353960404,44315,0.9998266645072268,0.0177559242861296,0.6890305527481925,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,1,0.0975679353960404,0.25977919270001687,6526,0.14392878930413805,0.04294058780326336,0.2460227701123426,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,2,0.25977919270001687,0.4528318957090087,30,0.0006404547779222142,-0.49493993420187066,0.0014977533699450823,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,3,0.4528318957090087,0.6760979306111276,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[50, 100)",5,4,0.6760979306111276,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,0,-inf,0.0975679353960404,48904,1.1105078041922254,0.026566023114015177,0.7097410890514338,0.0,0.0,True
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,1,0.0975679353960404,0.25977919270001687,405,0.009798493167154712,0.1630291818328847,0.019848076451850036,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,2,0.25977919270001687,0.4528318957090087,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,3,0.4528318957090087,0.6760979306111276,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-09-18,"[""2025-09-04"", ""2025-10-02"", ""2025-10-16""]","[100, +inf)",6,4,0.6760979306111276,inf,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0, 1)",0,0,-inf,0.09814505402623849,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0, 1)",0,1,0.09814505402623849,0.25995290154379735,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0, 1)",0,2,0.25995290154379735,0.4519348591464248,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0, 1)",0,3,0.4519348591464248,0.675085335207546,916,0.017643880513514853,0.10057152033756928,0.043794224517116086,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[0, 1)",0,4,0.675085335207546,inf,99060,1.8965986081218313,-0.019693176891470564,0.8320174701831009,-0.016385067217109642,-0.016385067217109642,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[1, 3)",1,0,-inf,0.09814505402623849,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[1, 3)",1,1,0.09814505402623849,0.25995290154379735,0,0.0,0.0,0.0,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[1, 3)",1,2,0.25995290154379735,0.4519348591464248,331,0.008009105560568781,-0.060035546482563866,0.01628055678520486,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[1, 3)",1,3,0.4519348591464248,0.675085335207546,68267,1.315168703613473,-0.006964554053760116,0.7734147529654344,-0.005386488853003295,-0.005015293301812214,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[1, 3)",1,4,0.675085335207546,inf,16309,0.31073203298613244,-0.007667910582605318,0.4491723815032086,-0.0034442136575424864,-0.005015293301812214,True
