fold,amount_bin,n,user_share,actual_zero_rate,mean_y_true,median_y_true,mean_prediction,median_prediction,mean_p0,rmsle,error_share,zero_row_error_share,positive_row_error_share,mean_calibrated_residual
2025-09-04,"[0, 1)",32562,0.1727262118206219,0.8434064246667895,10.971565093368284,0.0,0.3601974450874577,0.29376181383644245,0.8165377150261777,1.3365590148767277,0.09883682082505814,0.015080926007997214,0.08375589481706092,0.012886937771775598
2025-09-04,"[1, 3)",27604,0.14642633594670004,0.6409940588320533,27.5668377989031,0.0,1.8914836983869219,1.833515782453607,0.6200668461324984,1.851760630821146,0.1608322465814461,0.051163750013553985,0.10966849656789213,-0.014091316078738689
2025-09-04,"[3, 10)",41526,0.22027604791054436,0.4410730626595386,49.85099718319103,8.984421730041504,5.916186401286941,5.623852561433927,0.42457963674883714,2.0369644503293034,0.2927645009874814,0.14127607666411215,0.15148842432336926,-0.05893331841824085
2025-09-04,"[10, 30)",38840,0.2060280715899808,0.23171987641606592,96.06411058841658,36.3016242980957,18.02233758370925,17.06913663260603,0.2279314553956843,1.9902577229938552,0.2614142594018979,0.14759950250900428,0.11381475689289364,-0.014695000814067473
2025-09-04,"[30, 50)",15835,0.08399728407897389,0.1106409851594569,145.29295069776478,73.16707611083984,38.83296879855176,38.30373883798437,0.11438837375299794,1.7568522708756067,0.08304623976750541,0.04571099453668837,0.037335245230817035,0.024495158491083927
2025-09-04,"[50, 100)",16567,0.08788020242098897,0.05529063801533168,215.67130151326538,124.02042388916016,70.62096719836299,68.53425310661409,0.060835656468911786,1.5377674816257076,0.06656663974249115,0.031147417367853435,0.03541922237463771,0.06159255795774683
2025-09-04,"[100, +inf)",15584,0.08266584623219003,0.014887063655030801,502.92418083588035,300.1214599609375,217.08473792029812,164.7254740390963,0.01816940739570292,1.1746943776182261,0.03653929269411985,0.010971099583426808,0.025568193110693048,0.10133090020026365
2025-09-18,"[0, 1)",32961,0.1725480957989792,0.838597129941446,11.817178216052023,0.0,0.34871367910516954,0.2813529884358251,0.8128956440867057,1.3550425874926075,0.10222080029665231,0.016988771902277672,0.08523202839437463,-0.004404039307622066
2025-09-18,"[1, 3)",27779,0.14542075644549143,0.6254724792109148,29.443733205431627,0.0,1.8967092123852,1.847951090591795,0.6156305593081489,1.868280420858284,0.16376977060423778,0.053793820363561555,0.10997595024067622,-0.013946200641007623
2025-09-18,"[3, 10)",42453,0.2222379269729093,0.42833250889218666,51.71943322756734,9.887350082397461,5.899237454858745,5.602160772278406,0.4205507500938598,2.0367571447415256,0.297454052746292,0.14515618412844117,0.15229786861785086,-0.05624173180601398
