task_left,task_right,cosine,signed_rank_spearman,top_n,top_overlap_n,top_overlap_fraction,overlap_sign_agreement
p56_early,p07_mid,0.3324999452681086,0.4503386123246956,20,2,0.1,0.5
p56_early,p105_max,0.9285421477890372,0.8698845020023807,20,10,0.5,1.0
p56_early,p28_early,0.8049544098490535,0.6711547938587723,20,6,0.3,1.0
p56_early,p28_late,0.6937289340986058,0.5637423843583682,20,7,0.35,1.0
p56_early,p28_mid,0.3306919597265328,0.32008231245230734,20,2,0.1,1.0
p56_early,p56_early,1.0,0.9999999999999999,20,20,1.0,1.0
p56_early,p56_late,0.6849764434495322,0.5738461326822999,20,8,0.4,1.0
p56_early,real_20251016_to_20260213,-0.760002294464266,-0.628959546974014,20,8,0.4,0.0
p56_late,p07_early,-0.04895692374595541,-0.1449862799092718,20,3,0.15,0.6666666666666666
p56_late,p07_late,0.5604546088095647,0.43191622450292483,20,4,0.2,1.0
p56_late,p07_mid,0.3121695662003578,0.3065103064544712,20,1,0.05,1.0
p56_late,p105_max,0.9002363552742804,0.8745066876844484,20,15,0.75,1.0
p56_late,p28_early,0.4552539496292905,0.3302200474356661,20,0,0.0,
p56_late,p28_late,0.8135294713408322,0.7394534135957965,20,9,0.45,1.0
p56_late,p28_mid,0.6864727745571518,0.7098202834001871,20,9,0.45,1.0
p56_late,p56_early,0.6849764434495322,0.5738461326822999,20,8,0.4,1.0
p56_late,p56_late,1.0000000000000002,0.9999999999999999,20,20,1.0,1.0
p56_late,real_20251016_to_20260213,-0.3387154508838766,-0.08367596471537385,20,3,0.15,0.3333333333333333
real_20251016_to_20260213,p07_early,0.17568201819768314,0.20002524723271717,20,3,0.15,0.3333333333333333
real_20251016_to_20260213,p07_late,-0.45606101123038056,-0.1932424810585064,20,1,0.05,0.0
real_20251016_to_20260213,p07_mid,-0.07742925458867463,-0.13390339211137264,20,4,0.2,0.75
real_20251016_to_20260213,p105_max,-0.6032761745910442,-0.39676592659367077,20,3,0.15,0.0
real_20251016_to_20260213,p28_early,-0.48558730499322605,-0.29144612426655575,20,5,0.25,0.0
real_20251016_to_20260213,p28_late,-0.3694769212511943,-0.13192245539048647,20,0,0.0,
real_20251016_to_20260213,p28_mid,-0.1286607128094867,-0.01690998147727061,20,2,0.1,0.0
real_20251016_to_20260213,p56_early,-0.760002294464266,-0.628959546974014,20,8,0.4,0.0
real_20251016_to_20260213,p56_late,-0.3387154508838766,-0.08367596471537385,20,3,0.15,0.3333333333333333
real_20251016_to_20260213,real_20251016_to_20260213,0.9999999999999998,0.9999999999999999,20,20,1.0,1.0
