gap_group,gap_days,n_pairs,roc_auc_mean,roc_auc_min,roc_auc_max,pr_auc_mean
long,56,2,0.5818614890104167,0.5804154382291666,0.5833075397916667,0.5744777210145267
max,105,1,0.623386683298611,0.623386683298611,0.623386683298611,0.6161508463681633
medium,28,3,0.5529433890046297,0.5481763322222222,0.5583899970833333,0.547328266918719
short,7,3,0.5221904253703703,0.5153795948958333,0.5276119635069444,0.519304359750897
