cutoff,horizon,gmv_share,target_log_allocation_share,corr_with_residual,after_span_linear_gain
2025-09-04,days_1_7,0.22704419387211033,0.22884649603680635,0.32174440718503483,0.34670474500012965
2025-09-04,days_8_14,0.23632030060160217,0.23393566377933328,0.34314488690942785,0.3916099771449723
2025-09-04,days_15_30,0.5366355055262875,0.5372178401838605,0.5414333424472113,1.108327589221728
2025-09-18,days_1_7,0.2250724808279865,0.23029056355346114,0.30882025634134763,0.32498272790928284
2025-09-18,days_8_14,0.23156770750660816,0.22602498687079614,0.3292823891290329,0.36553968800763315
2025-09-18,days_15_30,0.5433598116654053,0.5436844495757428,0.5415474636019403,1.1235255841083855
2025-10-02,days_1_7,0.23053179412736077,0.23006367615007473,0.30893281938796613,0.32611672936372604
2025-10-02,days_8_14,0.25226307533724734,0.24934914298067762,0.3498907544196141,0.41422229520553777
2025-10-02,days_15_30,0.517205130535392,0.5205871808692477,0.5162673419935688,1.017610311795158
2025-10-16,days_1_7,0.2339772336177639,0.23726848623270552,0.31395567756851694,0.33828951480568653
2025-10-16,days_8_14,0.22262213193019992,0.22164489675404714,0.31783817482755156,0.3410097167879683
2025-10-16,days_15_30,0.5434006344520362,0.5410866170132475,0.5318353143655705,1.0865153880010139
weighted_1_2_4_8,days_1_7,0.23140894673197585,0.2338553478403781,0.31245077453118203,0.3338302157812728
weighted_1_2_4_8,days_8_14,0.23263233816036047,0.23043609223173422,0.32959853876442413,0.3671770845524091
weighted_1_2_4_8,days_15_30,0.5359587151076638,0.5357085599278878,0.5296186768366621,1.0745295405751496
