cutoff,n,composition_proxy_RMSLE,current_proxy_RMSLE,unit_EXP075_Delta_MSE,clip_count,rms_EXP075_post_span
2025-09-04,188518,1.7720084671283545,1.7728229901194605,0.0028873467215242473,31,0.07031609009193561
2025-09-18,191025,1.7674788610851868,1.768056116806264,0.0020409077930559354,843,0.06753871174518167
2025-10-02,193694,1.7512888450595596,1.751877180537821,0.002061036859098993,402,0.06547244972725677
2025-10-16,197379,1.741328904826033,1.741889597335554,0.00195301452318722,123,0.05378919459768027
