cutoff,component,population_share,mse_share,oracle_removable_mse,after_span_headroom,after_existing_hurdle_headroom,oracle_label_R2_in_production_span,oracle_label_R2_with_explicit_hurdle_signals,oracle_rho_after_span,positive_share,zero_mse_share,positive_mse_share,conditional_relation_corr,joint_count_value_after_span,after_count_value_headroom
2025-09-04,zero_positive,1.0,1.0,1.5947880927329892,2.2795887017410306,2.348274963428906,0.3253497243934712,0.34238665079107244,0.8537515002772907,0.6001814150372908,0.4918203284886743,0.5081796715113258,,,
2025-09-04,purchase_days_count,0.6001814150372908,0.5081796715113258,0.5038049226264572,0.278429448622088,,0.34584676740799747,,0.5009774378394553,,,,0.09643827836494574,,
2025-09-04,event_days_count,0.6001814150372908,0.5081796715113258,0.5188584890179292,0.01613394226737258,,0.3069353934082746,,0.12059542514236302,,,,-0.16069404984834484,,
2025-09-04,order_items_count,0.6001814150372908,0.5081796715113258,0.5194560882627186,0.3237188569798421,,0.2932531709646663,,0.5401875651946529,,,,0.1630121973199438,,
2025-09-04,conditional_monetary_value,0.6001814150372908,0.5081796715113258,0.32868177146575384,0.4287314760420462,,0.09011531459094146,,0.7983984977680149,,,,0.5910732552151028,0.7071609246641343,
2025-09-04,horizon_distribution,1.0,1.0,1.603202765328989,2.4822595604064337,,0.1455048258104351,,0.8908956286249177,,,,,,0.0002395484267193795
2025-09-18,zero_positive,1.0,1.0,1.5555659088878078,2.2464580357075277,2.308785744807465,0.32703208412962625,0.34486134676405,0.8512376926140411,0.610359900536579,0.37526156842246505,0.624738431577535,,,
2025-09-18,purchase_days_count,0.610359900536579,0.624738431577535,0.8199664830894476,0.28226138247328925,,0.35088398613539384,,0.49596738493174,,,,0.0775036176635736,,
2025-09-18,event_days_count,0.610359900536579,0.624738431577535,0.8399596169801521,0.015051458614192225,,0.2747131155763354,,0.11452931949190821,,,,-0.16547494948959898,,
2025-09-18,order_items_count,0.610359900536579,0.624738431577535,0.8324500526019306,0.32476745039738164,,0.2967018367287779,,0.5320024517799969,,,,0.14337449114182635,,
2025-09-18,conditional_monetary_value,0.610359900536579,0.624738431577535,0.3261911818827775,0.43841764323123134,,0.09615202316709937,,0.7924982779946602,,,,0.5762553478639241,0.7206790257045206,
2025-09-18,horizon_distribution,1.0,1.0,1.5640347303644428,2.4465616129125176,,0.14623955975573477,,0.8883411279855103,,,,,,0.00020678663654631396
2025-10-02,zero_positive,1.0,1.0,1.4880718226769047,2.1971023889147347,2.266499987249782,0.3265858390949713,0.3493143226327492,0.8474757131326884,0.6124195896620442,0.3963142648754296,0.6036857351245705,,,
2025-10-02,purchase_days_count,0.6124195896620442,0.6036857351245705,0.7113146234715673,0.283267372610188,,0.3490076548927371,,0.4951128406249097,,,,0.07316071811543803,,
2025-10-02,event_days_count,0.6124195896620442,0.6036857351245705,0.7299584071886223,0.015381257861350047,,0.27076940098521773,,0.11537237665299407,,,,-0.16015870087100337,,
2025-10-02,order_items_count,0.6124195896620442,0.6036857351245705,0.7221659130176599,0.32223732459770693,,0.29825112765498085,,0.5280728434964018,,,,0.13592772183748475,,
2025-10-02,conditional_monetary_value,0.6124195896620442,0.6036857351245705,0.32031480430579634,0.4371989424673876,,0.1037711063713751,,0.789610205525572,,,,0.5704824960235744,0.7204663150775756,
2025-10-02,horizon_distribution,1.0,1.0,1.495216873611511,2.4083377720516577,,0.14378077212576768,,0.8872802435875726,,,,,,0.0002716564311771559
2025-10-16,zero_positive,1.0,1.0,1.4466685548397265,2.1765306758294285,2.2406074423324114,0.32835602462596414,0.3513427815752439,0.847140533112842,0.6128615506208868,0.4185288136843117,0.5814711863156883,,,
2025-10-16,purchase_days_count,0.6128615506208868,0.5814711863156883,0.6162310429705992,0.27784669909936566,,0.3549060815270132,,0.48908224321555444,,,,0.0660943448367046,,
2025-10-16,event_days_count,0.6128615506208868,0.5814711863156883,0.6384031060404904,0.014992926204141338,,0.2858077862331778,,0.11361154775082753,,,,-0.16983855366297268,,
2025-10-16,order_items_count,0.6128615506208868,0.5814711863156883,0.6271974595581634,0.31937998092663095,,0.29884366548693897,,0.5243643045590562,,,,0.1329723350053589,,
2025-10-16,conditional_monetary_value,0.6128615506208868,0.5814711863156883,0.3255551281264073,0.44216134705275356,,0.10262461099871678,,0.7873139554146089,,,,0.5708700141814619,0.7200080461521191,
2025-10-16,horizon_distribution,1.0,1.0,1.4538181743396243,2.3741187401234103,,0.14844386976269386,,0.8847575630889433,,,,,,0.00032462005479347826
weighted_1_2_4_8,zero_positive,1.0,1.0,1.4821037093289358,2.19821064903003,2.2637803960468172,0.32750702973602147,0.349340592496808,0.8482169335292575,0.6115647986483813,0.4117220689539878,0.5882779310460122,,,
weighted_1_2_4_8,purchase_days_count,0.6115647986483813,0.5882779310460122,0.6612563150970944,0.2799196864536229,,0.35219293409772257,,0.49240143439513395,,,,0.07152287632316545,,
weighted_1_2_4_8,event_days_count,0.6115647986483813,0.5882779310460122,0.6817224133371097,0.015180353371619194,,0.2817267678911493,,0.1146690635163184,,,,-0.16606581210768917,,
weighted_1_2_4_8,order_items_count,0.6115647986483813,0.5882779310460122,0.6727066348001685,0.3211495269052321,,0.29802737859584383,,0.5274265519475136,,,,0.13715004979976045,,
weighted_1_2_4_8,conditional_monetary_value,0.6115647986483813,0.5882779310460122,0.3244509584977168,0.4394435539197392,,0.10123337829335832,,0.789356501278433,,,,0.5728316032325963,0.7193632403733621,
weighted_1_2_4_8,horizon_distribution,1.0,1.0,1.4895123410147277,2.4001122530283587,,0.14671053279510177,,0.8863172909105184,,,,,,0.0002891138575245638
