cutoff,tail,nominal_top_pct,population_share,mse_share,mean_signed_residual,residual_variance,oracle_indicator_intercept_gain,threshold
2025-09-04,top_target_gmv,1,0.010004349717268378,0.023114339136985775,2.245377982393419,2.2197279683565285,0.059140903802343506,1274.7397995005779
2025-09-04,top_target_gmv,5,0.05000053045332541,0.0907592702026396,1.9249706085331173,1.9993762974419704,0.24519321513606537,490.0766134078073
2025-09-04,top_target_gmv,10,0.10000106090665083,0.15627324993705974,1.750009407206759,1.84892905733541,0.4608229417176718,280.09936126623774
2025-09-04,top_baseline_prediction,1,0.010004349717268378,0.0028266500035901134,-0.04121120468658055,0.8863035933041872,4.1993021604535356e-05,6.270467008428716
2025-09-04,top_baseline_prediction,5,0.05000053045332541,0.019284103586942544,-0.019514330736045058,1.2117670367345719,6.426597761909978e-05,5.3552124533995205
2025-09-04,top_baseline_prediction,10,0.10000106090665083,0.04799011332610309,-0.027955370416877692,1.5074844176257234,0.00010335578006896804,4.83421808665032
2025-09-04,largest_absolute_residual,1,0.010004349717268378,0.0787674075007636,0.5311615784612285,24.462923148781385,0.004260188289546333,4.463804918232411
2025-09-04,largest_absolute_residual,5,0.05000053045332541,0.27030295243967606,-0.23218807186072854,16.936618751480133,0.0006400533372861196,3.4812718804400333
2025-09-04,largest_absolute_residual,10,0.10000106090665083,0.43148856608748043,-0.2772670582290886,13.48423909483445,0.002452052996446073,2.929574582514976
2025-09-18,top_target_gmv,1,0.01000392618767177,0.02689870022605306,2.3986535256060657,2.651755218249625,0.05834156119383566,1308.7618890490849
2025-09-18,top_target_gmv,5,0.05000392618767177,0.10473541140672031,2.093300902656052,2.1656820995481385,0.23749201016398214,500.8943593663495
2025-09-18,top_target_gmv,10,0.10000261745844785,0.18390183259225268,1.9371073236523189,1.9962772878281865,0.4438978372256941,290.28606148426974
2025-09-18,top_baseline_prediction,1,0.01000392618767177,0.002571581778516341,0.024967047316896588,0.8029433837482973,9.122104755934329e-07,6.189231413952954
2025-09-18,top_baseline_prediction,5,0.05000392618767177,0.017998384784698257,0.133493333851733,1.1073582681573853,7.319424665249681e-07,5.1927720077539
2025-09-18,top_baseline_prediction,10,0.10000261745844785,0.04662847983480453,0.15925292503740882,1.43221709377182,4.830901838316851e-06,4.6486384383846096
2025-09-18,largest_absolute_residual,1,0.01000392618767177,0.08314887816958695,2.797784081144709,18.154728923845834,0.07073235622166892,4.524950750349159
2025-09-18,largest_absolute_residual,5,0.05000392618767177,0.27740108853457746,1.3791679461351964,15.439774536324222,0.07797040398476472,3.4814686947197235
2025-09-18,largest_absolute_residual,10,0.10000261745844785,0.43923119497403834,0.9863131242317321,12.757292725144229,0.07595456039147822,2.922647189639097
2025-10-02,top_target_gmv,1,0.010000309766951996,0.026272931049035615,2.311155879359141,2.72166478695116,0.057599668743005907,1265.2147259956707
2025-10-02,top_target_gmv,5,0.05000154883475998,0.1003625319348863,1.994638747329621,2.1816255003199547,0.22957366206394042,491.2811566168872
2025-10-02,top_target_gmv,10,0.10000309766951997,0.17600953451939993,1.8468106758151266,1.990985256473901,0.43269830199981096,285.21609589420535
2025-10-02,top_baseline_prediction,1,0.010000309766951996,0.0028599606564725746,-0.03767864696863152,0.8762961215364848,1.4631626142945909e-08,6.241185341438835
2025-10-02,top_baseline_prediction,5,0.05000154883475998,0.019714606117642385,0.04157646948414975,1.208345478448135,1.1511299260933016e-05,5.271818925423627
2025-10-02,top_baseline_prediction,10,0.10000309766951997,0.04846251514007177,0.061968330041761235,1.4834641393508574,4.8265219279842235e-05,4.727243052593489
2025-10-02,largest_absolute_residual,1,0.010000309766951996,0.08414703131915545,2.1072594308607213,21.384001434635273,0.04101019862732993,4.511568398963525
2025-10-02,largest_absolute_residual,5,0.05000154883475998,0.28077126620009984,0.9477040544579423,16.335477111951576,0.03780820119187812,3.455838590919362
2025-10-02,largest_absolute_residual,10,0.10000309766951997,0.4435554056147246,0.6742993799606312,13.157940774297483,0.03669814851834877,2.901565093376617
2025-10-16,top_target_gmv,1,0.010001063942972656,0.024676549701819865,2.1923365198515206,2.6801718627099715,0.05453871641314953,1268.237601865034
2025-10-16,top_target_gmv,5,0.0500002533197554,0.09641127748853726,1.915975584028763,2.1795901026776328,0.22372878310853053,489.9843098721202
2025-10-16,top_target_gmv,10,0.1000005066395108,0.17005254671472594,1.7793625105463138,1.993542204516875,0.42927991354904804,281.0621446682391
2025-10-16,top_baseline_prediction,1,0.010001063942972656,0.0025023290705696024,-0.06802251330898212,0.7545436903580429,1.530740941861638e-06,6.326719926577866
2025-10-16,top_baseline_prediction,5,0.0500002533197554,0.018508233956022933,-0.025524898041809786,1.1224888219402234,2.5058172398003164e-05,5.347210181374605
2025-10-16,top_baseline_prediction,10,0.1000005066395108,0.04828048993682459,-0.022030481792823502,1.4644239011258562,0.0002009626687536454,4.7994810144058055
2025-10-16,largest_absolute_residual,1,0.010001063942972656,0.08432273659957107,1.494893128769243,23.347603497156605,0.02153518664426223,4.488958672555242
2025-10-16,largest_absolute_residual,5,0.0500002533197554,0.28037139789690046,0.6115303900783347,16.639886607937868,0.01726850437105514,3.4396303743737042
2025-10-16,largest_absolute_residual,10,0.1000005066395108,0.44311670786391943,0.4044941142878259,13.281272126347844,0.015014046451505766,2.885833970215683
weighted_1_2_4_8,top_target_gmv,1,0.01000146351361341,0.02529439075998622,2.255066713990286,2.6567514969560126,0.05616882883114898,1273.2682197667805
weighted_1_2_4_8,top_target_gmv,5,0.0500011069817168,0.09819802937759489,1.9611954716929205,2.1662642212826086,0.22855347657253572,491.7909625056678
weighted_1_2_4_8,top_target_gmv,10,0.10000151597451419,0.17256902846113148,1.8164244561428275,1.9835841530014922,0.4342434088373792,283.3355350105008
weighted_1_2_4_8,top_baseline_prediction,1,0.01000146351361341,0.002628552583404661,-0.045744786959944696,0.8022482913207376,3.741459773012474e-06,6.281828707647525
weighted_1_2_4_8,top_baseline_prediction,5,0.0500011069817168,0.018813677951672807,0.013971935371302781,1.149318404157578,2.0816029251993804e-05,5.307047574773245
weighted_1_2_4_8,top_baseline_prediction,10,0.10000151597451419,0.0480894035367064,0.024145329698826455,1.4680777581053095,0.0001275853207262756,4.762421019269329
