scheme,combined_delta,btyd05_delta,fresh_delta,interaction,fold_interactions
A_STANDARD_3F,-0.0005466676510642429,-0.00039486933257209297,-0.00019242384068337718,4.062552219122724e-05,"[6.238435650263163e-05, 3.1000155619853587e-05, 3.9998496899062985e-05]"
C_MATCHED_KPOS_3F,-0.0005513057581149537,-0.0003397125359504268,-0.0002517635055889121,4.0170283424385215e-05,"[6.376776992622624e-05, 3.1096576963651756e-05, 3.880776502929173e-05]"
