scheme,model,replicates,calibration_reestimated_inside_replicate,mean,median,p025,p05,p10,p90,p95,p975,p_delta_lt0
A_STANDARD_3F,BTYD05_FRESH1,500,True,-0.0005453148072188645,-0.0005465265821379248,-0.000657152908592673,-0.0006385972668645062,-0.0006200984045204796,-0.00047131810772088774,-0.0004491402856462578,-0.0004272777824810709,1.0
C_MATCHED_KPOS_3F,BTYD05_FRESH1,500,True,-0.0005499741033196765,-0.0005511784755457549,-0.0006724161889600923,-0.0006517428508515936,-0.0006327639762713602,-0.00046631106451535987,-0.0004438804983747445,-0.00042646740831314147,1.0
