fold,identified_base_mse,identified_candidate_mse,k1_n,k1_base_mse,k1_candidate_mse,k2_n,k2_base_mse,k2_candidate_mse,k3_n,k3_base_mse,k3_candidate_mse
2025-09-04,3.077678128991419,3.075554834544412,685,1.7948802523892877,1.8144752815573773,6552,2.2343217026045497,2.247514756214163,181281,3.1594491463753402,3.155869927929692
2025-09-18,3.0465240297544636,3.043954508765692,76,1.8037598733826172,1.7906847652164566,4665,2.299741384731249,2.299178547712291,186284,3.1209032943029484,3.1183893958211155
2025-10-02,3.0143975289889586,3.0128512704594637,140,1.4907436022282596,1.48254217685986,5889,2.5271350007100977,2.524720414102168,187665,3.0760817424041007,3.074718113536888
