fold,scheme,bin,n,mean_p_alive,mean_expected_count,mean_actual_count,actual_any_rate,predicted_any_rate,mae_count,brier_any
2025-09-04,p_alive_decile,0,18826,0.9451724290847778,1.2854712009429932,1.2963454796557952,0.5194943163709763,0.5366692203718388,1.0391255290119943,0.20853696167728647
2025-09-04,p_alive_decile,1,18873,0.996252179145813,1.3632959127426147,1.460393154241509,0.566735548137551,0.5692806961170186,1.0519752265939852,0.1923639642478892
2025-09-04,p_alive_decile,2,18849,0.9979427456855774,1.4213112592697144,1.6111730065255452,0.604276088917184,0.5870304010891587,1.1067792668806615,0.18794000022578192
2025-09-04,p_alive_decile,3,18756,0.9985418319702148,1.3823782205581665,1.6701855406269994,0.6105246321177223,0.5769542726588666,1.1341771379257792,0.18670714496186935
2025-09-04,p_alive_decile,4,18935,0.9988440871238708,1.360085129737854,1.7312912595722207,0.623395827832057,0.5745476162028818,1.1650175588392853,0.18708305022608204
2025-09-04,p_alive_decile,5,18870,0.9990255832672119,1.2958614826202393,1.7483836777954425,0.6409644939056703,0.5624291465682341,1.1872915713036571,0.19714803698918296
2025-09-04,p_alive_decile,6,18845,0.9991476535797119,1.3055624961853027,1.8931812151764393,0.6651631732555054,0.559088289445823,1.2760609224893333,0.1975521346737869
2025-09-04,p_alive_decile,7,18773,0.9992508292198181,1.743532657623291,2.5879188195813136,0.7863420870398977,0.6831547407637312,1.602362124901508,0.1662845700095787
2025-09-04,p_alive_decile,8,37791,0.9997461438179016,1.9718668460845947,2.536265248339552,0.49302744039586144,0.4463297205219645,1.172895508739147,0.07941152266386645
2025-09-04,expected_count_decile,0,10512,0.9888479113578796,0.054329875856637955,0.18188736681887366,0.1248097412480974,0.05003593245144122,0.222805800635925,0.11504026549456782
2025-09-04,expected_count_decile,1,27189,0.9905480742454529,0.13593000173568726,0.3172606568832984,0.2104159770495421,0.11828566974476229,0.3864078503849479,0.17028485662855902
2025-09-04,expected_count_decile,2,18831,0.9933763146400452,0.3399619460105896,0.6111730656895544,0.3735330040890022,0.2735356673939344,0.6955886968233905,0.24445563088233205
2025-09-04,expected_count_decile,3,18808,0.9908931851387024,0.5391386151313782,0.8671310080816673,0.4806465333900468,0.39696841819749795,0.8887054534135398,0.25896152379216464
2025-09-04,expected_count_decile,4,18850,0.9935067296028137,0.7716551423072815,1.1942175066312997,0.5881697612732095,0.515378299994241,1.0569963930171744,0.24844594235929948
2025-09-04,expected_count_decile,5,18838,0.993633508682251,1.082313895225525,1.506529355557915,0.6744346533602293,0.6375385234691064,1.1744129043505542,0.2198722375169327
2025-09-04,expected_count_decile,6,18930,0.9942442178726196,1.4793076515197754,1.9518225039619652,0.7640781827786582,0.7490310455070749,1.4136872624821972,0.17959809041339916
2025-09-04,expected_count_decile,7,18763,0.9949846267700195,2.0401270389556885,2.5110589990939616,0.8462932366892288,0.8496278493660145,1.5733089151206074,0.12904637993644458
2025-09-04,expected_count_decile,8,18944,0.995686411857605,2.949540853500366,3.5131967905405403,0.918918918918919,0.9319866187583397,1.9136179865312737,0.07401917311045782
