segment,n_oof,share,base_wcv,new_wcv,delta_wcv,base_auc,new_auc,delta_auc
positive,273379,0.35475385925026215,1.7734060896311272,1.7733769652253828,-0.000029124405744429538,0.8119255028056444,0.8118737409907868,-0.00005176181485755382
negative,253501,0.3289589107934432,1.7920859931178819,1.7923966792968316,0.00031068617894969286,0.8151833404885832,0.8151921787036767,8.83821509345406e-6
no-history,243736,0.3162872299562947,1.6780177420560463,1.6780177420560463,0.0,0.7960795138054917,0.7960795138054917,0.0
