model,mmd2_control_late,sigma2_control_late,mmd2_late_production,sigma2_late_production
BASE,0.0010977888892036436,9.403303618285811,0.005648395666794093,8.875171751062613
CONTROL,0.0012339963596494918,9.90901722893301,0.00575442857976638,9.350782660658567
LATE,0.0012444121489061377,10.052470923944892,0.005791500999879684,9.48918712429525
