fold,slice,calibration_mode,model,n,target_zero_rate,mean_log1p_target,mse_contribution_to_fold,rmsle,prediction_bias_mean_z_minus_ly,auc_y_positive,offset,delta_to_strongest,corr_candidate_correction_strongest_residual
2025-09-04,all,fixed_fold,STRONGEST,188518,0.3998185849627091,2.591790730513112,3.121876796535845,1.7668833567997195,7.327125676686761e-17,0.8402109222127274,-0.11734465876764338,0.0,
2025-09-04,all,fixed_fold,CAP,188518,0.3998185849627091,2.591790730513112,3.1576976030971244,1.776991165734125,-4.0555489856558406e-17,0.8372962857902819,-0.08171608833146897,0.010107808934405549,-0.010159297608643049
2025-09-04,all,fixed_fold,UNC,188518,0.3998185849627091,2.591790730513112,3.138290783529086,1.7715221656894633,-0.00013998451004871776,0.8391147730678876,-0.1758524590347353,0.004638808889743773,-0.012339597216982431
2025-09-04,all,fixed_fold,DIST,188518,0.3998185849627091,2.591790730513112,3.1334283138866246,1.7701492349196506,2.08054185881229e-17,0.8397032451069543,-0.07727053594752385,0.003265878119931065,-0.011904544590325805
2025-09-04,all,fixed_fold,ETX-AVG3,188518,0.3998185849627091,2.591790730513112,3.1303254703682812,1.769272582268849,-6.845661274441155e-05,0.8392661840290829,-0.1779746356962283,0.0023892254691295634,0.004722333508106176
2025-09-04,all,fixed_fold,SEQ-AVG3,188518,0.3998185849627091,2.591790730513112,3.126381083494089,1.7681575392181796,-1.132897196671216e-05,0.8397971946454099,-0.06531329494292291,0.0012741824184601125,0.02255334297729596
2025-09-04,all,fixed_fold,BTYD,188518,0.3998185849627091,2.591790730513112,3.2970941417520976,1.8157902251504985,3.6032572772183867e-17,0.8269043166248166,0.22339644322651336,0.048906868350778954,0.03394427855382438
2025-09-04,all,fixed_fold,FRESH,188518,0.3998185849627091,2.591790730513112,3.1210186124408263,1.7666404876037531,-2.3217641033122657e-17,0.8402307412737533,-0.11734445661741116,-0.00024286919596638867,0.01671625945562181
2025-09-04,all,fixed_fold,ZERO2D,188518,0.3998185849627091,2.591790730513112,3.122003368655976,1.7669191743415928,-3.1057363979371865e-17,0.840210962550069,-0.11271433687689565,3.581754187331754e-05,-0.002449953116747354
2025-09-04,all,fixed_fold,BTYD05,188518,0.3998185849627091,2.591790730513112,3.1195637792058935,1.7662286882524283,-2.3519168838747628e-17,0.8403100916259961,-0.10030743519317234,-0.0006546685472912372,0.03394427855382438
2025-09-04,all,fixed_fold,SEQ_SLOT_25,188518,0.3998185849627091,2.591790730513112,3.121328403503616,1.766728163443266,-1.0794695441373911e-16,0.8402732014853496,-0.10467780895937277,-0.00015519335645342025,0.013738702984970045
2025-09-04,all,fixed_fold,SEQ_SLOT_50,188518,0.3998185849627091,2.591790730513112,3.121876796535845,1.7668833567997195,5.321965769280713e-17,0.8402109222127273,-0.11734465876764334,0.0,-0.0036267923957970473
2025-09-04,all,fixed_fold,SEQ_SLOT_75,188518,0.3998185849627091,2.591790730513112,3.123064724212083,1.7672194895405842,9.588584218874032e-17,0.8401042913293166,-0.13001153866393822,0.0003361327408646364,-0.013738702984970002
2025-09-04,all,fixed_fold,BTYD05_FRESH1,188518,0.3998185849627091,2.591790730513112,3.1189262567781597,1.7660482034129645,-8.985528607624093e-17,0.8403039767664136,-0.10030732923966469,-0.0008351533867549943,0.03263572049733629
2025-09-04,all,slice_shape_only,STRONGEST,188518,0.3998185849627091,2.591790730513112,3.121876796535845,1.7668833567997195,7.327125676686761e-17,0.8402109222127274,-0.11734465876764338,0.0,
2025-09-04,all,slice_shape_only,CAP,188518,0.3998185849627091,2.591790730513112,3.1576976030971244,1.776991165734125,-4.0555489856558406e-17,0.8372962857902819,-0.08171608833146897,0.010107808934405549,-0.010159297608643049
2025-09-04,all,slice_shape_only,UNC,188518,0.3998185849627091,2.591790730513112,3.138290783529086,1.7715221656894633,-0.00013998451004871776,0.8391147730678876,-0.1758524590347353,0.004638808889743773,-0.012339597216982431
2025-09-04,all,slice_shape_only,DIST,188518,0.3998185849627091,2.591790730513112,3.1334283138866246,1.7701492349196506,2.08054185881229e-17,0.8397032451069543,-0.07727053594752385,0.003265878119931065,-0.011904544590325805
2025-09-04,all,slice_shape_only,ETX-AVG3,188518,0.3998185849627091,2.591790730513112,3.1303254703682812,1.769272582268849,-6.845661274441155e-05,0.8392661840290829,-0.1779746356962283,0.0023892254691295634,0.004722333508106176
2025-09-04,all,slice_shape_only,SEQ-AVG3,188518,0.3998185849627091,2.591790730513112,3.126381083494089,1.7681575392181796,-1.132897196671216e-05,0.8397971946454099,-0.06531329494292291,0.0012741824184601125,0.02255334297729596
2025-09-04,all,slice_shape_only,BTYD,188518,0.3998185849627091,2.591790730513112,3.2970941417520976,1.8157902251504985,3.6032572772183867e-17,0.8269043166248166,0.22339644322651336,0.048906868350778954,0.03394427855382438
