model,feature,gain,split,gain_share
D1-fixed-L180,w14_days_buy,0.0,0.0,0.0
D1-fixed-L180,trend_srch_14_30,0.0,0.0,0.0
D1-fixed-L180,w14_buyday_rate,0.0,0.0,0.0
D1-fixed-L180,w14_cat_gmv_share,0.0,0.0,0.0
D1-fixed-L180,trend_gmv_14_30,0.0,0.0,0.0
D1-fixed-L180,w60_cat_gmv_share,0.0,0.0,0.0
D1-fixed-L180,w30_presence_rate,0.0,0.0,0.0
D1-fixed-L180,w30_gmv30eq,0.0,0.0,0.0
D1-fixed-L180,w30_cat_gmv_share,0.0,0.0,0.0
D1-fixed-L180,w180_gmv30eq,0.0,0.0,0.0
D1-fixed-L180,w7_cat_gmv_share,0.0,0.0,0.0
D1-fixed-L180,w60_gmv30eq,0.0,0.0,0.0
D1-fixed-L180,w7_buyday_rate,0.0,0.0,0.0
D1-fixed-L180,w7_gmv_per_day,0.0,0.0,0.0
D1-fixed-L180,w7_lgmv,0.0,0.0,0.0
D1-fixed-L180,w7_gmv_cat,0.0,0.0,0.0
D1-fixed-L180,w7_days_search,0.0,0.0,0.0
D1-fixed-L180,w7_days_buy,0.0,0.0,0.0
D1-fixed-L180,w7_orders,0.0,0.0,0.0
D1-fixed-L180,w90_lgmv,0.0,0.0,0.0
D1-fixed-L180,w90_gmv30eq,0.0,0.0,0.0
