validation_cutoff,train_cutoff,n,mean_p_test_like,mean_weight,neff_fraction
2025-10-02,2025-04-03,197912,0.25002458691596985,1.0059416612749352,0.9574418908501398
2025-10-02,2025-04-10,198671,0.24939540028572083,1.0041824899073377,0.9587720467940607
2025-10-02,2025-04-17,199382,0.249013751745224,1.0031058983485934,0.9598452834689937
2025-10-02,2025-04-24,199994,0.24930760264396667,1.0038858284544674,0.9609133836741511
2025-10-02,2025-05-01,200639,0.24963238835334778,1.0047489717805684,0.9619952109851889
2025-10-02,2025-05-08,201274,0.24986377358436584,1.0053619593545848,0.9628362124571408
2025-10-02,2025-05-15,201556,0.2501823306083679,1.0062244334868313,0.9637399962702385
2025-10-02,2025-05-22,202557,0.24983392655849457,1.0052697375736142,0.9641784435625351
2025-10-02,2025-05-29,203292,0.24951015412807465,1.0043693829321272,0.9646063499536871
2025-10-02,2025-06-05,203992,0.24901512265205383,1.0030070829737994,0.9649402859164756
2025-10-02,2025-06-12,205122,0.24852611124515533,1.0016611502749555,0.965113249392848
2025-10-02,2025-06-19,205683,0.24813415110111237,1.0006015151594172,0.9654682020102924
2025-10-02,2025-06-26,206429,0.24803942441940308,1.000346794890072,0.965808785215631
2025-10-02,2025-07-03,207093,0.24760393798351288,0.9991692105380947,0.9657628189834465
2025-10-02,2025-07-10,207577,0.24714837968349457,0.9979244211641328,0.9656584929331239
2025-10-02,2025-07-17,208274,0.2466924637556076,0.9966723871489662,0.9654491315593127
2025-10-02,2025-07-24,209056,0.2466667890548706,0.9965995062587503,0.9653624868855026
2025-10-02,2025-07-31,209914,0.24647003412246704,0.9960592485393506,0.9653684386541953
2025-10-02,2025-08-07,211018,0.24626673758029938,0.995506434661551,0.9652001446475775
2025-10-02,2025-08-14,212368,0.24571658670902252,0.9939937515865327,0.9650178358148936
2025-10-02,2025-08-21,213792,0.2444210648536682,0.99044535815987,0.9647054128753866
2025-10-02,2025-08-28,215249,0.24333468079566956,0.9874818506525436,0.9642787003209091
2025-10-02,ALL,4520844,0.24790315330028534,0.9999999999999998,0.9637458918764628
