validation_cutoff,train_cutoff,n,mean_p_test_like,mean_weight,neff_fraction
2025-09-18,2025-04-03,197912,0.25002458691596985,1.0047783937754518,0.9574418908501396
2025-09-18,2025-04-10,198671,0.24939540028572083,1.0030212567076124,0.9587720467940619
2025-09-18,2025-04-17,199382,0.249013751745224,1.0019459101156676,0.9598452834689937
2025-09-18,2025-04-24,199994,0.24930760264396667,1.0027249383130326,0.9609133836741512
2025-09-18,2025-05-01,200639,0.24963238835334778,1.0035870835031406,0.9619952109851889
2025-09-18,2025-05-08,201274,0.24986377358436584,1.0041993622204213,0.9628362124571411
2025-09-18,2025-05-15,201556,0.2501823306083679,1.0050608389905284,0.9637399962702388
2025-09-18,2025-05-22,202557,0.24983392655849457,1.0041072470844028,0.9641784435625353
2025-09-18,2025-05-29,203292,0.24951015412807465,1.0032079336099466,0.9646063499536869
2025-09-18,2025-06-05,203992,0.24901512265205383,1.0018472090106352,0.9649402859164754
2025-09-18,2025-06-12,205122,0.24852611124515533,1.0005028327437646,0.9651132493928478
2025-09-18,2025-06-19,205683,0.24813415110111237,0.9994444229866529,0.9654682020102923
2025-09-18,2025-06-26,206429,0.24803942441940308,0.9991899972749565,0.965808785215631
2025-09-18,2025-07-03,207093,0.24760393798351288,0.9980137746774997,0.9657628189834462
2025-09-18,2025-07-10,207577,0.24714837968349457,0.9967704247737162,0.9656584929331241
2025-09-18,2025-07-17,208274,0.2466924637556076,0.9955198386064061,0.965449131559313
2025-09-18,2025-07-24,209056,0.2466667890548706,0.9954470419954026,0.9653624868855025
2025-09-18,2025-07-31,209914,0.24647003412246704,0.9949074090281835,0.9653684386541952
2025-09-18,2025-08-07,211018,0.24626673758029938,0.9943552344224632,0.965200144647578
2025-09-18,2025-08-14,212368,0.24571658670902252,0.9928443006089835,0.965017835814894
2025-09-18,ALL,4091803,0.2483254373073578,0.9999999999999999,0.9636834264733101
