model,group_fold,train_n,train_positive_rate,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability
D1-behavior,0,300000,0.24506333333333333,205011,0.24450395344640044,0.6375654220396463,0.3568130943569112,0.5351444812930576,0.17690534320140627,0.013897309239318256,0.24538705401509361
D1-behavior,1,300000,0.24484,203909,0.24538397030047718,0.6421982450540118,0.3640526805856248,0.5352028254547093,0.17698154423295767,0.01734838303754053,0.2446993495792979
D1-behavior,2,300000,0.24495,204569,0.24495891361838792,0.6400784511837734,0.3599417480016752,0.5354465674775077,0.17703079394829413,0.01810617654544253,0.24550626053512034
D1-behavior,3,300000,0.24503,204621,0.24462787299446292,0.637664475962253,0.35801179273086603,0.5353250696749624,0.17697442809414707,0.014533686416699713,0.24488176135175568
D1-behavior,4,300000,0.24486333333333332,202506,0.24528162128529524,0.6390559539900593,0.3623816433432908,0.5358183096262341,0.17719322658615635,0.016464359391417657,0.2444636325522691
