model,group_fold,train_n,train_positive_rate,n,positive_rate,roc_auc,pr_auc,logloss,brier,ece10,mean_probability
D1-missingness,0,300000,0.24506333333333333,205011,0.24450395344640044,0.5592842020289199,0.29667131066190044,0.5505739410988729,0.1824980271661938,0.004299190730520389,0.2448779112397271
D1-missingness,1,300000,0.24484,203909,0.24538397030047718,0.5596060896139312,0.29611271881084694,0.5517988292773733,0.1830463333542506,0.002966682922284185,0.24495010272463735
D1-missingness,2,300000,0.24495,204569,0.24495891361838792,0.5600447735416594,0.29538354623646657,0.5512924214387067,0.18281513206204547,0.00303254431160703,0.24499613137326795
D1-missingness,3,300000,0.24503,204621,0.24462787299446292,0.5606254200096461,0.29638656055197415,0.5507194498650373,0.18256674808691115,0.003685801076298642,0.24460973546361378
D1-missingness,4,300000,0.24486333333333332,202506,0.24528162128529524,0.5592317941471574,0.29615100041290654,0.5516166624069198,0.18296186300750245,0.0031287214386868595,0.24480768907015177
