segment,n,share,control,late,standalone_delta,base_slot,late_slot,slot_delta
all,197379,1.0,1.7493717653918905,1.7494033966445317,3.163125264116218e-05,1.7422615805946373,1.7422688089459835,7.228351346144635e-06
rec_buy_15_60,56145,0.28445275333242137,1.9504003898030764,1.9504422339200125,4.184411693608503e-05,1.9419351946421313,1.9419442569679792,9.062325847963848e-06
w180_days_buy_2_15,111441,0.5646041372182451,1.9535404297915557,1.9535659975878805,2.5567796324788006e-05,1.9464669087737663,1.9464728538482456,5.945074479374313e-06
intersection,45667,0.23136706539196167,1.99120262679724,1.991215406004707,1.2779207466895315e-05,1.9828385829213737,1.9828430789811191,4.496059745395797e-06
never_buyer,20384,0.103273397879207,1.1848054110450497,1.1848430010147726,3.7589969722917616e-05,1.1821177900477078,1.1821236624664633,5.872418755492603e-06
frequent,43240,0.21907092446511534,1.4103695158186822,1.410401333972461,3.1818153778839786e-05,1.4040110432747315,1.4040205395323453,9.496257613816894e-06
y_zero,76413,0.3871384493791133,1.8584385313449643,1.8583000295214795,-0.00013850182348473794,1.8515600034133166,1.8515284286314606,-3.157478185600304e-05
y_positive,120966,0.6128615506208868,1.6768233436299484,1.6769741453339706,0.0001508017040221521,1.6695353353638271,1.6695697631163677,3.442775254058894e-05
