model,n,rmsle_raw,rmsle_cal,offset,auc,rmsle_zero,rmsle_positive,mse_zero_contribution,mse_positive_contribution,mean_z_raw,mean_z_cal
BASE,197379,1.7541747194875892,1.7497873171297944,-0.1239892234765659,0.8423692309767274,1.8602760544530201,1.6762436152032092,1.3397417701838144,1.7220138850044693,2.7555084228515625,2.631519129801044
CONTROL,197379,1.7532663152329773,1.7493717653918905,-0.1167955417825589,0.8423293832477676,1.8584385313449643,1.6768233436299484,1.3370963664465165,1.723205207103823,2.74831485748291,2.6315191298010445
LATE,197379,1.7532648250929055,1.7494033966445317,-0.1162983349693024,0.8423340113192452,1.8583000295214795,1.6769741453339706,1.3368970772248747,1.72351516696655,2.7478177547454834,2.6315191298010445
