fold,w,n,BASE-1HEAD,COND-CLEAN,COND-VOL,COND-FRESH,d_fresh,d_vol,poison
2025-09-04,1.0,94238,1.7684564819311246,1.7697870265785096,1.7696754737962714,1.7687990286388346,-0.0009879979396749672,-0.00011155278223817788,-0.12385789304971695
2025-09-18,2.0,95497,1.7627892406830972,1.7641854219365916,1.7640533222015031,1.7631809146508535,-0.0010045072857380877,-0.0001320997350884312,0.003821766469627619
2025-10-02,4.0,96810,1.7504509497659506,1.7516522868877082,1.7517127530108632,1.7505029014133446,-0.0011493854743636067,0.000060466123154911955,0.018830008804798126
2025-10-16,8.0,98707,1.7397898943384063,1.7403256027210312,1.7401972886359238,1.7388768090234663,-0.0014487936975648985,-0.00012831408510738385,0.005670101847499609
