bin,lo,hi,n,mean_pred,observed_rate,model
0,0.0,0.1,105,0.09782153680211021,0.0380952380952381,D1-behavior
1,0.1,0.2,286551,0.16691090740969985,0.1417792993219357,D1-behavior
2,0.2,0.30000000000000004,525152,0.24863692437842885,0.24682948936688806,D1-behavior
3,0.30000000000000004,0.4,191438,0.3340411517774119,0.36747145289858857,D1-behavior
4,0.4,0.5,15697,0.4325830365484927,0.5276804484933427,D1-behavior
5,0.5,0.6000000000000001,1628,0.5299420375788827,0.6615479115479116,D1-behavior
6,0.6000000000000001,0.7000000000000001,45,0.6135578023062812,0.8444444444444444,D1-behavior
7,0.7000000000000001,0.8,0,,,D1-behavior
8,0.8,0.9,0,,,D1-behavior
9,0.9,1.0,0,,,D1-behavior
