scheme,model,wcv,folds
ordinary,SEQ-01-MIX,1.7483427843591761,"[1.767492972891647, 1.7610285866435784, 1.7494623096940387, 1.742217797554085]"
ordinary,ROUNDS-slot-control,1.7483471314893495,"[1.7674620919796633, 1.7610414698594123, 1.7494373933295952, 1.7422390459154218]"
ordinary,DOMAIN-full-slot,1.7483545136934366,"[1.7674539397036555, 1.7610213489849131, 1.7493907278233358, 1.7422822695543405]"
behavior_t05_clip4,SEQ-01-MIX,1.7340072725203035,"[1.751586596271197, 1.7467903815018329, 1.735223904052985, 1.7280057640397186]"
behavior_t05_clip4,ROUNDS-slot-control,1.734012717948751,"[1.7515551092970147, 1.7468046834147004, 1.735204221581293, 1.7280261758474598]"
behavior_t05_clip4,DOMAIN-full-slot,1.7340178766907743,"[1.7515500923987803, 1.7467807933391188, 1.735158644013529, 1.72806523690381]"
