scheme,model,wcv,folds
ordinary,S1-ROUNDS,1.7510761354262978,"[1.7710585353628023, 1.764798728982834, 1.7524253461227577, 1.744473081696871]"
ordinary,DOMAIN-01-DIRECT,1.7511635266070404,"[1.771068949261896, 1.764710298221606, 1.7521406769441423, 1.744800080702991]"
behavior_t05_clip4,S1-ROUNDS,1.73672451971667,"[1.7551187571284546, 1.7505532238730825, 1.7381757264432913, 1.730242460637783]"
behavior_t05_clip4,DOMAIN-01-DIRECT,1.7368100386754866,"[1.7551727237781287, 1.7504490069123484, 1.737909088162889, 1.7305554362347395]"
