scheme,model,cutoff,rmsle_cal,offset
primary_t05_clip4,S1-DIST-MIX,2025-09-04,1.771493778286077,-0.10732952769660817
primary_t05_clip4,S1-DIST-MIX,2025-09-18,1.7768284324436716,-0.07389350366961296
primary_t05_clip4,S1-DIST-MIX,2025-10-02,1.7645668952259164,-0.04491489764710415
primary_t05_clip4,S1-DIST-MIX,2025-10-16,1.749433724346224,-0.05980880665427656
primary_t05_clip4,SEQ-01-MIX,2025-09-04,1.770029250648252,-0.08733504039207352
primary_t05_clip4,SEQ-01-MIX,2025-09-18,1.7755448680364696,-0.06475894753539643
primary_t05_clip4,SEQ-01-MIX,2025-10-02,1.7631772822063136,-0.02747082380863821
primary_t05_clip4,SEQ-01-MIX,2025-10-16,1.7483435756974317,-0.03321795170688457
primary_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7699972738910246,-0.08638435151929254
primary_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7755377542450659,-0.06390328355337273
primary_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.7631782810760552,-0.02720185952210881
primary_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.7483457888371996,-0.033242908028253325
primary_t10_clip4,S1-E10,2025-09-04,1.768843700655893,-0.0777766723977833
primary_t10_clip4,S1-E10,2025-09-18,1.779498797330983,-0.05371771491470288
primary_t10_clip4,S1-E10,2025-10-02,1.7669976837194994,-0.03633443129539025
primary_t10_clip4,S1-E10,2025-10-16,1.7519279615164964,-0.03982749175164225
primary_t10_clip4,S1-E02,2025-09-04,1.7681558692307502,-0.1827467903386573
primary_t10_clip4,S1-E02,2025-09-18,1.7789543004094834,-0.12481917177466931
primary_t10_clip4,S1-E02,2025-10-02,1.7681143301264173,-0.05122529658473267
primary_t10_clip4,S1-E02,2025-10-16,1.7529777750821776,-0.08127160173003055
primary_t10_clip4,S1-E03a,2025-09-04,1.773211191119561,-0.102331642133395
primary_t10_clip4,S1-E03a,2025-09-18,1.7857271828413275,-0.07796736244911516
primary_t10_clip4,S1-E03a,2025-10-02,1.7750895885776876,-0.08727496598163037
primary_t10_clip4,S1-E03a,2025-10-16,1.7617409477373294,-0.11170160568674319
primary_t10_clip4,S1-DIST,2025-09-04,1.7666539129133747,-0.0698850194380806
primary_t10_clip4,S1-DIST,2025-09-18,1.7772584862276015,-0.04670644412922792
primary_t10_clip4,S1-DIST,2025-10-02,1.7659609621300836,-0.03712007614720027
primary_t10_clip4,S1-DIST,2025-10-16,1.7512719755062005,-0.04418649547805696
