cutoff,head,target_corr,target_RMSE_log,prediction_mean_log,target_mean_log
2025-09-04,p1,0.27600674098726424,0.7975851811197043,0.2050432562828064,0.19585039904573728
2025-09-04,p3,0.4067997872476594,1.1983411179024335,0.5404854416847229,0.5165951790313245
2025-09-04,p7,0.5166607020954465,1.521960671077863,1.086825966835022,1.0499172612969685
2025-09-04,p14,0.5904484915330042,1.706390563667381,1.7482805252075195,1.691562574267877
2025-09-18,p1,0.27560875838635734,0.8058511293136333,0.20936793088912964,0.20300193929460514
2025-09-18,p3,0.41300922663588796,1.2098606579746307,0.5463138222694397,0.5382349516063354
2025-09-18,p7,0.5216423584309011,1.524090551735347,1.0915342569351196,1.082614334581707
2025-09-18,p14,0.5966035911216594,1.6958555072593262,1.7370699644088745,1.7159036992222176
2025-10-02,p1,0.28264677573704,0.8008423787445351,0.21201106905937195,0.20034044793770342
2025-10-02,p3,0.41490471114696303,1.217152736276958,0.5525675415992737,0.544041005801373
2025-10-02,p7,0.5218120622610599,1.5247877207369107,1.0983340740203857,1.0767790847814627
2025-10-02,p14,0.5988892490284066,1.7061809515462936,1.7471543550491333,1.7660845738975304
2025-10-16,p1,0.28567064883045734,0.8138848275852165,0.21651624143123627,0.21030682893461725
2025-10-16,p3,0.4206270333761855,1.237583237059422,0.5682388544082642,0.5722149018865779
2025-10-16,p7,0.5293773943218208,1.5264927945799052,1.1156036853790283,1.1054420740575006
2025-10-16,p14,0.5998951141341313,1.6839318000465362,1.7550535202026367,1.7175742360393778
