mechanism,cutoff,candidate,raw_rho,rho_after_strong_level_conditioning,rho_after_production_span,rho_after_span_plus_levels,optimistic_binned_headroom
funnel_channel_geometry,2025-09-04,search_ord_rate30,0.011488157098160248,0.00140239599369161,-0.002905688057612285,-0.0023374639133978423,3.569747065365791e-05
funnel_channel_geometry,2025-09-04,search_cart_rate30,-0.008128105126673151,0.0043908136903898,-0.009158266727878426,0.0009976810227854912,0.0002199404421141156
funnel_channel_geometry,2025-09-04,cat_ord_per_catday30,0.00882470682264367,0.0013620847350384597,0.0014177600540033614,-0.00031666527410522234,6.053862781509301e-06
funnel_channel_geometry,2025-09-04,cat_cart_per_catday30,-0.0029244207352147624,0.00048604952668291604,-0.0034861526146135794,-0.000835297645098522,9.782066784591699e-06
funnel_channel_geometry,2025-09-04,search_order_share30,0.002550992361231516,-0.002028784648314754,-0.00511766924784984,-0.003601904621978207,2.700626605291473e-05
funnel_channel_geometry,2025-09-04,search_cart_share30,-0.006056435980750789,0.004753058509920013,-0.005121721481490523,0.0022907077481735846,5.5003398189844414e-05
funnel_channel_geometry,2025-09-04,search_aov30,0.0031845037853459016,0.0003827444565905242,-0.003148711110495887,-0.0016443582946846149,4.7574272109326976e-05
funnel_channel_geometry,2025-09-04,cat_aov30,0.008189357263845464,-0.002039481543797494,0.0019754781957848785,-0.000541801708038002,6.053862781509301e-06
funnel_channel_geometry,2025-09-04,order_conversion_disagreement30,0.0006246679196381986,-0.00015337114095491464,-0.002908975373998633,-0.0012275594506032648,1.3635513776850446e-05
funnel_channel_geometry,2025-09-04,cart_conversion_disagreement30,-0.0027639288278269126,0.0014569168377358088,-0.00266625690001983,0.001122413738206139,0.00012814975520994605
funnel_channel_geometry,2025-09-04,stage_efficiency_disagreement30,0.01017508553161387,0.0037911292270967453,0.0013853705733213794,0.0006612977732362558,2.1320817042295232e-05
funnel_channel_geometry,2025-09-04,order_channel_entropy30,0.007567291079037401,0.0015307980441681727,0.0013546664335194998,0.00012682499061626528,6.053862781509301e-06
funnel_channel_geometry,2025-09-04,search_ord_elasticity7_90,0.00488311701345875,-0.000917157204466483,0.005523326015843865,-0.0021442615918525008,8.211826511794968e-05
funnel_channel_geometry,2025-09-04,cat_ord_elasticity7_90,-0.006508599110242841,-0.004235114245073023,0.00044484537395468615,-0.002952189149028597,3.091659005815726e-05
funnel_channel_geometry,2025-09-04,order_share_change7_90,0.013496341715024956,0.0006753913671822529,0.011593297833765127,0.00114821247444691,1.3030862770418733e-05
funnel_channel_geometry,2025-09-04,gmv_share_change7_90,0.012792527045183256,-0.0010073878362633203,0.010923750682547124,-4.470331801181855e-05,1.1167355713725258e-05
funnel_channel_geometry,2025-09-18,search_ord_rate30,0.01365265665156827,0.0035720432988538818,0.008962397972554563,0.0016287526226003873,3.0464758589907458e-05
funnel_channel_geometry,2025-09-18,search_cart_rate30,-0.0035679172340531227,0.003109288178741339,-0.0038148538795533815,0.001654356933300395,4.68911542634993e-05
funnel_channel_geometry,2025-09-18,cat_ord_per_catday30,0.0018611359866751245,0.0024130556244000637,0.0026470346504799632,0.0018491097894121353,1.2184545280312254e-05
funnel_channel_geometry,2025-09-18,cat_cart_per_catday30,-0.007473617492437753,-0.0007397015199004776,-0.004879836974756624,-0.0012707543428573497,1.414279112541824e-05
funnel_channel_geometry,2025-09-18,search_order_share30,0.006020959205628464,0.006676090704818003,0.006560600483458973,0.0006363850601778875,2.2787745723325013e-06
funnel_channel_geometry,2025-09-18,search_cart_share30,-0.005339852796271921,0.0041246250911675785,-0.003104520174624464,0.0020484246060399566,2.3358710078102263e-05
funnel_channel_geometry,2025-09-18,search_aov30,0.0025034707795498963,0.003320843236160978,0.006368848138072942,0.0012008948190750561,1.343910388535534e-05
funnel_channel_geometry,2025-09-18,cat_aov30,-0.0017461557392151159,-0.0010347250190188314,0.00013272180436021475,-0.0028617149430311545,1.2184545280312254e-05
funnel_channel_geometry,2025-09-18,order_conversion_disagreement30,0.00767126845515776,0.00038438436804462953,0.003331073723782158,-0.00042279067169438537,4.411079224117948e-05
funnel_channel_geometry,2025-09-18,cart_conversion_disagreement30,0.0043725218416378305,0.0019342133140899107,0.001899009381522169,0.0017639704212944792,4.240310372988566e-05
funnel_channel_geometry,2025-09-18,stage_efficiency_disagreement30,0.013201558467676002,0.003840688607653228,0.008916906956180519,0.0016651282298643366,6.98057959209806e-05
funnel_channel_geometry,2025-09-18,order_channel_entropy30,0.0014227034561991563,0.004856972881594804,0.002184404367086544,0.0029759582276765377,1.2184545280312254e-05
funnel_channel_geometry,2025-09-18,search_ord_elasticity7_90,0.001103961358389728,9.852947215781974e-05,0.0034708949152172657,-0.0025701094578448967,7.839385008400431e-05
funnel_channel_geometry,2025-09-18,cat_ord_elasticity7_90,-0.0034665595800986507,-0.002201373115762802,-0.0020309485656277992,-0.0024100872153226,1.2309939817877035e-05
funnel_channel_geometry,2025-09-18,order_share_change7_90,0.008169945382981608,0.0030131985546940866,0.012780668408573025,0.00522360736887705,4.321646158084373e-05
funnel_channel_geometry,2025-09-18,gmv_share_change7_90,0.007482756626467235,0.001851311511660918,0.012030647943744097,0.0038799647195028554,4.1403396524445396e-05
funnel_channel_geometry,2025-10-02,search_ord_rate30,0.013547324506617811,0.002586917219235336,0.00996511017994042,-0.00024933424281397713,5.766476139176648e-07
funnel_channel_geometry,2025-10-02,search_cart_rate30,0.003885895020895133,0.004277553107935772,0.004079207110295899,0.0022313787462665607,0.0001080905895638961
funnel_channel_geometry,2025-10-02,cat_ord_per_catday30,0.003523518310485427,0.0032745777494555014,0.003375992025985157,0.00278126083688759,2.580653724252697e-07
funnel_channel_geometry,2025-10-02,cat_cart_per_catday30,0.0017727413265210801,0.004687741227433626,0.0037093355968977437,0.003814575617356575,7.462812199457386e-05
funnel_channel_geometry,2025-10-02,search_order_share30,0.008948627432207024,0.007057261247190997,0.013160404333925922,0.0022360205670889912,3.0913861057750275e-05
funnel_channel_geometry,2025-10-02,search_cart_share30,-0.005028891899262504,-0.00015092812775407678,-0.0008878906520451767,-0.0023103884673127536,3.887422085814872e-05
funnel_channel_geometry,2025-10-02,search_aov30,0.004584330899667712,0.0017494394552320385,0.010496277895610884,-0.00016765410639213744,0.00011555807553323291
funnel_channel_geometry,2025-10-02,cat_aov30,0.0003699330178825968,0.0007473011514534274,0.001026705480986943,-0.0006727044739172038,2.580653724252697e-07
funnel_channel_geometry,2025-10-02,order_conversion_disagreement30,0.006184952240972722,-0.0009232242754570623,0.0032909154226197983,-0.0023275636732708626,0.0001499004226046703
funnel_channel_geometry,2025-10-02,cart_conversion_disagreement30,0.0009549357590780002,-0.0021514965427219665,-0.0007284744699466615,-0.0022839902437053893,6.803733826195028e-05
funnel_channel_geometry,2025-10-02,stage_efficiency_disagreement30,0.011307784245409413,0.003696458975688624,0.008668880364862045,0.000616525518992769,3.979716294482375e-05
funnel_channel_geometry,2025-10-02,order_channel_entropy30,0.0026295034635556106,0.003538843650910523,0.0022718231293077508,0.0021556323769917705,2.580653724252697e-07
funnel_channel_geometry,2025-10-02,search_ord_elasticity7_90,0.0024909543179180093,0.0015049721049027443,0.0020916910690163275,-0.0005316881475714941,0.00014300335167629656
funnel_channel_geometry,2025-10-02,cat_ord_elasticity7_90,-0.0011435608938158298,-0.0009511892986560483,0.0002614926511907535,-0.0008914665562242554,2.1490297346202364e-05
funnel_channel_geometry,2025-10-02,order_share_change7_90,0.004525281655369809,-9.005814582303528e-05,0.004491645784700428,0.002088303056676539,5.910210323943739e-08
funnel_channel_geometry,2025-10-02,gmv_share_change7_90,0.004199227613305607,-0.00043221187920753707,0.004213150069502234,0.001766690216806451,6.321982619857358e-07
funnel_channel_geometry,2025-10-16,search_ord_rate30,0.010144041125212205,0.004632980492065345,0.009046029352814806,0.0017646801857406193,2.6461109090549002e-05
funnel_channel_geometry,2025-10-16,search_cart_rate30,0.005293957762880525,0.005962789277254898,0.0071270808225566,0.0033856108313738958,2.6080006952168327e-05
funnel_channel_geometry,2025-10-16,cat_ord_per_catday30,0.0028166253917066494,-0.00029004752035452757,0.0022255141727373687,-0.0005257166832764513,6.212823366257074e-06
funnel_channel_geometry,2025-10-16,cat_cart_per_catday30,0.002157578189715831,0.0029019111765620632,0.004665248519895509,0.0019313846107374534,7.695375117359444e-05
funnel_channel_geometry,2025-10-16,search_order_share30,0.00245568805307901,0.008322345578776693,0.011344147144892215,0.003863678362254005,7.578679940980575e-05
funnel_channel_geometry,2025-10-16,search_cart_share30,-0.006403428324352736,0.0010556566372309031,0.0011560690749033362,-0.0015698564789261864,3.184141885892796e-05
funnel_channel_geometry,2025-10-16,search_aov30,-0.0021041065652393355,0.002665364301599565,0.006990082433883518,0.0003967045977437567,6.707922996188693e-05
funnel_channel_geometry,2025-10-16,cat_aov30,0.0022360959896740485,0.0012668279642940308,0.0025922318609488256,0.0011157979113564063,6.212823366257074e-06
funnel_channel_geometry,2025-10-16,order_conversion_disagreement30,0.004385049676180339,0.003115975717385821,0.003527711707453542,0.0014965421540634057,8.104484578104205e-05
funnel_channel_geometry,2025-10-16,cart_conversion_disagreement30,0.0014856362025988334,2.913168360704363e-06,0.0002946096729998752,-0.0002502780958048975,0.00014384176367767098
funnel_channel_geometry,2025-10-16,stage_efficiency_disagreement30,0.0033676147457319537,0.0022634293717497633,0.0036342386070628134,-0.0009560736805379803,1.956422721137289e-05
funnel_channel_geometry,2025-10-16,order_channel_entropy30,0.0025319699612934457,0.0008378388361558213,0.0022726008619408863,-7.313870725908661e-05,6.212823366257074e-06
funnel_channel_geometry,2025-10-16,search_ord_elasticity7_90,-0.0002580932686418634,0.0015469594647310719,0.00036637827680912764,0.0006828517606245242,8.148716214267665e-05
funnel_channel_geometry,2025-10-16,cat_ord_elasticity7_90,-0.001091445246337267,0.0007323118269131915,-0.000843490406575493,0.0007390690936931979,0.00014995744859325376
funnel_channel_geometry,2025-10-16,order_share_change7_90,-0.0028459925024589476,-0.005030693030238894,-0.002849225766838347,-0.0025693150151619684,0.00012612217727605895
funnel_channel_geometry,2025-10-16,gmv_share_change7_90,-0.0033169535569394894,-0.006139628875747386,-0.0032753193973922502,-0.0036713222514099283,9.559925527088039e-05
within_day_funnel_coherence,2025-09-04,search_completion_day_rate30,0.017962859904301156,0.002726673043289714,0.0003322918518802532,-0.0010782766480215552,8.267039925380419e-05
within_day_funnel_coherence,2025-09-04,cat_completion_day_rate30,0.009277121160330958,0.0025840295918985777,0.0014930217669299238,0.00021423597677105213,6.053862781486501e-06
within_day_funnel_coherence,2025-09-04,search_cart_completion_day_rate30,0.017593532837033573,0.0050155842018764565,0.002556203176655269,0.0008614422775268188,0.00012266698997711727
within_day_funnel_coherence,2025-09-04,cat_cart_completion_day_rate30,0.009891494432885065,0.0013182483808000644,0.0017075722776970226,-0.0007705908985437156,6.053862781486501e-06
within_day_funnel_coherence,2025-09-04,search_daily_conversion_jensen30,0.002946511042939977,-0.0024108128717213522,-0.004096258024157192,-0.004087284069507196,1.913250066827303e-05
within_day_funnel_coherence,2025-09-04,search_daily_conversion_std90,0.010546826186497788,0.0023980939432498094,-0.005474996245255501,6.44181164741246e-05,4.558667876871438e-05
within_day_funnel_coherence,2025-09-04,cat_order_burst_cv90,0.0034914923385690605,-0.001081235021864931,-0.00030236945167766373,-0.00030521942880649234,6.053862781486501e-06
within_day_funnel_coherence,2025-09-04,dual_channel_order_day_share90,0.00586461851494611,0.003348484065965321,0.0008754405338784498,0.0007103814846430179,6.053862781486501e-06
within_day_funnel_coherence,2025-09-18,search_completion_day_rate30,0.016820673802653462,0.004139104228635068,0.013300441981381524,0.003543943251539687,8.932154857428393e-05
within_day_funnel_coherence,2025-09-18,cat_completion_day_rate30,0.003452478813701379,0.0031927181555996952,0.002949287504372842,0.0018270100293815367,1.2184545280299841e-05
within_day_funnel_coherence,2025-09-18,search_cart_completion_day_rate30,0.01726791379342782,0.007453178042118757,0.01448710939262281,0.004720506596539172,0.0001266584468564373
within_day_funnel_coherence,2025-09-18,cat_cart_completion_day_rate30,0.0026116157200906597,0.004338656075262773,0.002919986853147642,0.0024656298126909757,1.2184545280299841e-05
within_day_funnel_coherence,2025-09-18,search_daily_conversion_jensen30,0.008140614070984464,0.002020146632867984,0.004486011560387784,0.0020272028810834307,6.543272126545999e-05
within_day_funnel_coherence,2025-09-18,search_daily_conversion_std90,0.014401599932422626,0.006594923670522039,0.007348914233881898,0.005366802734053718,0.00011733718518186404
within_day_funnel_coherence,2025-09-18,cat_order_burst_cv90,-0.0041359040092592775,-0.0006900917476365961,-0.0032947928176968472,-0.001123179823499367,1.2184545280299841e-05
within_day_funnel_coherence,2025-09-18,dual_channel_order_day_share90,0.003686999940335258,0.0065935219023962564,0.003050173863380937,0.004593287755890288,1.2184545280299841e-05
within_day_funnel_coherence,2025-10-02,search_completion_day_rate30,0.01687482978209651,0.001776524179751894,0.014795097426240226,-0.0001984307046734588,2.1605974786018255e-05
within_day_funnel_coherence,2025-10-02,cat_completion_day_rate30,0.0050811233481398675,0.0038268094631063675,0.003686115580881819,0.002673474673036642,2.5806537241802286e-07
within_day_funnel_coherence,2025-10-02,search_cart_completion_day_rate30,0.016023331700976525,0.004178442400358083,0.014180443946541185,0.0001582007222160604,1.2190323998481734e-05
within_day_funnel_coherence,2025-10-02,cat_cart_completion_day_rate30,0.0028736466112694826,0.0021019565220940254,0.001842672467562057,0.00024305606021175356,2.5806537241802286e-07
within_day_funnel_coherence,2025-10-02,search_daily_conversion_jensen30,0.0037359211766891994,-0.003726237753258972,0.00044401806393380694,-0.0036201538285710795,3.914911361213085e-06
within_day_funnel_coherence,2025-10-02,search_daily_conversion_std90,0.008620808126840214,0.0014613680506847895,0.0050009707586115525,-0.0005034476472750806,4.9708746289073446e-05
within_day_funnel_coherence,2025-10-02,cat_order_burst_cv90,-0.001330953718802849,0.0033172049326610884,0.0006747391391108713,0.0029561940588944883,2.5806537241802286e-07
within_day_funnel_coherence,2025-10-02,dual_channel_order_day_share90,0.004922811710242739,0.009287838083126195,0.004024528013322459,0.006993463949914902,2.5806537241802286e-07
within_day_funnel_coherence,2025-10-16,search_completion_day_rate30,0.009168252388373458,0.0031789719825908768,0.010134044215793803,0.0008139252308875759,0.00011997693817149563
within_day_funnel_coherence,2025-10-16,cat_completion_day_rate30,0.0026463091480511732,-0.0007629865936358236,0.0011970625011240655,-0.0015330782419806282,6.212823366257081e-06
within_day_funnel_coherence,2025-10-16,search_cart_completion_day_rate30,0.006141632357200592,0.0015637672531869284,0.007079384856125892,-0.0024080796089386712,4.055027625466189e-05
within_day_funnel_coherence,2025-10-16,cat_cart_completion_day_rate30,0.003641129543050881,0.0012066891349825505,0.0026976299759452708,0.00012721374157280527,6.212823366257081e-06
within_day_funnel_coherence,2025-10-16,search_daily_conversion_jensen30,0.0037639691824213,0.0007978480753465755,0.002440753390542429,0.000926125572524708,3.005206749941104e-05
within_day_funnel_coherence,2025-10-16,search_daily_conversion_std90,0.005816233944572909,0.00406075830114907,0.005118399741628635,0.0016115381067976892,6.106155253165373e-05
within_day_funnel_coherence,2025-10-16,cat_order_burst_cv90,0.004322537245584248,0.008247673024440039,0.008419696590094613,0.008495000403570081,6.212823366257081e-06
within_day_funnel_coherence,2025-10-16,dual_channel_order_day_share90,0.006063214579894143,0.00834948953317772,0.005600827509521291,0.0066121669690158286,6.212823366257081e-06
funnel_channel_geometry,weighted_1_2_4_8,search_ord_rate30,0.011609006495297712,0.0037305330269908985,0.008483185561985131,0.0009360097230981318,2.070816340090237e-05
funnel_channel_geometry,weighted_1_2_4_8,search_cart_rate30,0.002842086839456356,0.00502812777984365,0.003769700035643414,0.0026877864350295794,6.364834430093635e-05
funnel_channel_geometry,weighted_1_2_4_8,cat_ord_per_catday30,0.003278270344772588,0.0011310751212549584,0.0025346607227201908,0.0006867242790705198,5.410520117459432e-06
funnel_channel_geometry,weighted_1_2_4_8,cat_cart_per_catday30,0.00043199567358138,0.0027315267206075313,0.002594233598841881,0.0018221715349675135,6.348067642683194e-05
funnel_channel_geometry,weighted_1_2_4_8,search_order_share30,0.004668861661729908,0.007075413758686586,0.010093221747593969,0.0025016249776510383,5.076757698046845e-05
funnel_channel_geometry,weighted_1_2_4_8,search_cart_share30,-0.005871942384344435,0.0013895899519390726,-0.0003755847893128979,-0.0010275232493604672,3.4129936843337836e-05
funnel_channel_geometry,weighted_1_2_4_8,search_aov30,0.000646394428080124,0.002356340210842477,0.007166317081277446,0.0002173634466564667,7.155457478053765e-05
funnel_channel_geometry,weighted_1_2_4_8,cat_aov30,0.0016043697182892005,0.0006009931158887199,0.0018057065744029122,-1.977746594524973e-06,5.410520117459432e-06
funnel_channel_geometry,weighted_1_2_4_8,order_conversion_disagreement30,0.005052494080219155,0.0014566870821595107,0.003009235161578214,3.9262783028784036e-05,8.998783699508181e-05
funnel_channel_geometry,weighted_1_2_4_8,cart_conversion_disagreement30,0.0014457298341700943,-0.00021715582387244004,3.8316091149124256e-05,-0.00043252207736437594,0.00010905596167592576
funnel_channel_geometry,weighted_1_2_4_8,stage_efficiency_disagreement30,0.007250017160963944,0.0029577184879437204,0.00553124098677554,-7.939554235785583e-05,3.177565855696897e-05
funnel_channel_geometry,weighted_1_2_4_8,order_channel_entropy30,0.0027457647690670483,0.002140188606683096,0.002199438305363379,0.0009410774197242486,5.410520117459432e-06
funnel_channel_geometry,weighted_1_2_4_8,search_ord_elasticity7_90,0.0009993407235183557,0.0011783643918205806,0.001584193755787782,-0.00026322793418880514,9.752111127550384e-05
funnel_channel_geometry,weighted_1_2_4_8,cat_ord_elasticity7_90,-0.0017831682544267732,-0.00043894153706115253,-0.0006212669603427895,-0.00036171180366834896,8.941048318831672e-05
funnel_channel_geometry,weighted_1_2_4_8,order_share_change7_90,0.0016779612721863886,-0.002260265889908858,0.0021551607770004077,-4.039204549257218e-05,7.391184083690237e-05
funnel_channel_geometry,weighted_1_2_4_8,gmv_share_change7_90,0.0012012881530549491,-0.003210042889050048,0.0017090061112604168,-0.0009725727348706486,5.7419798931840146e-05
