mechanism,cutoff,candidate,raw_rho,rho_after_strong_level_conditioning,rho_after_production_span,rho_after_span_plus_levels,optimistic_binned_headroom
multi_horizon_predicted_future_state,2025-09-04,p1,0.02220301706562431,0.00684820493461369,0.01387136429818111,0.0048889233473186485,0.00031883272647251307
multi_horizon_predicted_future_state,2025-09-04,p3,0.021591858181394676,0.007930877417214694,0.013050351453537888,0.004519087744274278,0.0003136125730101797
multi_horizon_predicted_future_state,2025-09-04,p7,0.020059216797945242,0.010005600249986193,0.010716837250361384,0.0033919898164405334,0.00030433299986584554
multi_horizon_predicted_future_state,2025-09-04,p14,0.018113281874630408,0.011793318060489668,0.005052192174540872,0.00016647757016231002,0.0003003848502627912
multi_horizon_predicted_future_state,2025-09-04,pred_I2_3,0.022004647039604863,0.006365488422648737,0.011724987747708023,0.00320060809454124,0.00043809992801629343
multi_horizon_predicted_future_state,2025-09-04,pred_I4_7,0.020832966571966323,0.00893656736939982,0.009707861544054137,0.0026088007953141705,0.0002299178808867217
multi_horizon_predicted_future_state,2025-09-04,pred_I8_14,0.01906009514530186,0.011266085178243655,0.0049331829691631164,0.00015493795705661631,0.00023156787614894527
multi_horizon_predicted_future_state,2025-09-04,pred_share_Y1_Y7,-0.00024338451804661637,-0.00044836660891950776,0.0003213770913289282,-0.00030349229531554956,5.2756238018299224e-05
multi_horizon_predicted_future_state,2025-09-04,pred_share_Y3_Y14,-0.0023667384805947946,-0.0012961668418414929,0.0013017248460672954,-0.00044069827666876635,0.00015304341820451505
multi_horizon_predicted_future_state,2025-09-04,pred_share_Y7_Y14,-0.005719673174455363,-0.0026689607869683743,-0.00023518026388815455,-0.001535126594174418,0.00013409366504127604
multi_horizon_predicted_future_state,2025-09-04,pred_early_late_intensity_logratio,-0.019688256847617616,-0.008127417273404984,0.00038122995017996446,0.00035992683545419416,0.00020236818953981502
multi_horizon_predicted_future_state,2025-09-18,p1,0.0035855993158220405,-0.007351283266861688,0.004850438765138708,-0.0025484833819434632,9.85353011007368e-05
multi_horizon_predicted_future_state,2025-09-18,p3,0.0040836998541203115,-0.006750516151647753,0.00483698929401749,-0.002814243005052469,7.221054360101048e-05
multi_horizon_predicted_future_state,2025-09-18,p7,0.004197113443657174,-0.004865505822359362,0.004251953142456953,-0.0029726923582288826,0.0001584014645191504
multi_horizon_predicted_future_state,2025-09-18,p14,0.004127679788762979,-0.0016345540712831438,0.0009016582865777053,-0.004187370378770301,0.0001101978635106871
multi_horizon_predicted_future_state,2025-09-18,pred_I2_3,0.0038650686522810514,-0.008829536677874346,0.004254967598397091,-0.0037256283415822004,6.353895732121625e-05
multi_horizon_predicted_future_state,2025-09-18,pred_I4_7,0.0041062205525466775,-0.007103863012360583,0.003616684786764896,-0.003926554847720766,0.00015918793994309065
multi_horizon_predicted_future_state,2025-09-18,pred_I8_14,0.004283238097380555,-0.0041632684524784734,0.00035132283227484984,-0.005359518352356632,0.0001273360668629166
multi_horizon_predicted_future_state,2025-09-18,pred_share_Y1_Y7,0.002298937595497548,0.002081320407762012,0.0033298195728174483,0.001949288982000554,0.00010442260094201125
multi_horizon_predicted_future_state,2025-09-18,pred_share_Y3_Y14,-0.0015422558365905863,-0.001879822845376768,-0.0005432427072853771,-0.0017721275977319964,4.6574629040242175e-05
multi_horizon_predicted_future_state,2025-09-18,pred_share_Y7_Y14,-0.002331840193686673,0.0004724755005747624,0.0016210232707332814,0.0006994025879825429,6.330022440830396e-05
multi_horizon_predicted_future_state,2025-09-18,pred_early_late_intensity_logratio,-0.0036270942129685126,0.005890562064370146,0.004649534404899413,0.0061356387423370145,0.00022121415732477938
multi_horizon_predicted_future_state,2025-10-02,p1,-0.0030172986562844277,-0.007290003556324803,0.0016860574323236857,-0.00459890517396044,0.00043865443743716
multi_horizon_predicted_future_state,2025-10-02,p3,-0.0030874001148035604,-0.007755948474463358,0.0010370107642507888,-0.006103130742074709,0.0003977972540177279
multi_horizon_predicted_future_state,2025-10-02,p7,-0.002920863120908841,-0.006231650461613601,0.0014129333799315273,-0.006197191453253797,0.0002719741416036092
multi_horizon_predicted_future_state,2025-10-02,p14,-0.0030855750788460587,-0.0035768934291314004,-0.0002022058683716609,-0.007051668791269235,0.0003865223142239722
