cutoff,candidate,kind,raw_rho,raw_oracle_gain,after_span_rho,after_span_oracle_gain,after_count_value_activity_gain
2025-09-04,Y1,cumulative,0.14752150032152817,0.05079425970977937,0.1475012363090814,0.06804321992299583,0.0001956489651245336
2025-09-04,Y3,cumulative,0.2515651742309404,0.13572568715494907,0.2643109558672231,0.21848612724773167,0.0003094919854001227
2025-09-04,Y7,cumulative,0.3904974672959512,0.28236130238382723,0.44110287126559583,0.6085178267487437,0.0005818478063051191
2025-09-04,Y14,cumulative,0.5445129846327893,0.4544464589828823,0.6606689028455882,1.3650899423375886,0.0012815863508116106
2025-09-04,I1,increment,0.14752150032152817,0.05079425970977937,0.1475012363090814,0.06804321992299583,0.0001956489651245336
2025-09-04,I2_3,increment,0.20910338676816165,0.09791104138892298,0.21437158485705887,0.1437235624786471,0.00021872097344267463
2025-09-04,I4_7,increment,0.3133606880684174,0.20148634618686942,0.3371139142150626,0.35542411644258803,0.0004899677242741088
2025-09-04,I8_14,increment,0.4129536521947481,0.316141122138584,0.4646860204773929,0.6753248813986633,0.0006210900907590839
2025-09-04,I15_30,increment,0.600543582674309,0.5259519344197024,0.7294050927825857,1.663914930178536,0.0018093304693607816
2025-09-18,Y1,cumulative,0.14095791399875862,0.07784347447882856,0.14580515783633755,0.06590864654156287,0.00011564882794943322
2025-09-18,Y3,cumulative,0.2401368756179901,0.20445152215565449,0.26031148964106265,0.21007931541044092,0.00024371627407269252
2025-09-18,Y7,cumulative,0.37493448705169286,0.41962424055595215,0.4348759584777759,0.586310155287642,0.0005127215009859374
2025-09-18,Y14,cumulative,0.5247375826198813,0.669821178898502,0.6506702543992177,1.3125580659889255,0.0011761406439480095
2025-09-18,I1,increment,0.14095791399875862,0.07784347447882856,0.14580515783633755,0.06590864654156287,0.00011564882794943322
2025-09-18,I2_3,increment,0.19831608374977897,0.14603974614302914,0.209916142630825,0.13661182501517105,0.00021504121646814098
2025-09-18,I4_7,increment,0.29900597928652933,0.2959845766354395,0.3305258627716574,0.3386940082366681,0.00044735807989421426
2025-09-18,I8_14,increment,0.39532944612241544,0.46114593801027315,0.4548969397655683,0.6415383887066548,0.0005970219988104562
2025-09-18,I15_30,increment,0.5971780317351703,0.8032702988976135,0.7372358074062095,1.68503707139721,0.001863420389325185
2025-10-02,Y1,cumulative,0.13596544583286221,0.06478562509442946,0.14189694558750085,0.061594490670699595,0.0001774189349941338
2025-10-02,Y3,cumulative,0.23966056568054628,0.18137859715099636,0.26221650455465795,0.21033707086534584,0.00036411519916389895
2025-10-02,Y7,cumulative,0.3717492707037012,0.3701876085328488,0.43422257530526986,0.5767937842510373,0.0006635715671813411
2025-10-02,Y14,cumulative,0.5366148272075417,0.6181773466096453,0.672330604440356,1.3828068926503043,0.001583721268199333
2025-10-02,I1,increment,0.13596544583286221,0.06478562509442946,0.14189694558750085,0.061594490670699595,0.0001774189349941338
2025-10-02,I2_3,increment,0.20126721562791236,0.13352008042600969,0.21503841272655963,0.1414581146531987,0.0002989865636294353
2025-10-02,I4_7,increment,0.29451930597075626,0.2582357340154504,0.32746446418764086,0.3280379810288851,0.0005187215977144986
2025-10-02,I8_14,increment,0.4135752821129674,0.44292354952808266,0.48101752822453986,0.7078114417653072,0.0007892852279461054
2025-10-02,I15_30,increment,0.5742509045928594,0.6804191824591749,0.7151110257732514,1.5643816836724886,0.00171421150589547
2025-10-16,Y1,cumulative,0.13795965139096145,0.058520715469910715,0.14559217540110309,0.06428800354460876,0.00025404000955432654
2025-10-16,Y3,cumulative,0.2467155216833356,0.16826810672839787,0.273320461294234,0.2265677848919519,0.00041673058703035453
2025-10-16,Y7,cumulative,0.3764104437300348,0.33346912332956435,0.4462547864445951,0.6039759467082542,0.0007211612894143545
2025-10-16,Y14,cumulative,0.5176800227648078,0.5202391111741516,0.6536110575533534,1.2956647702652706,0.001355984366478863
2025-10-16,I1,increment,0.13795965139096145,0.058520715469910715,0.14559217540110309,0.06428800354460876,0.00025404000955432654
2025-10-16,I2_3,increment,0.20867815779276286,0.12594155431099827,0.22532130162255332,0.15397789258289626,0.0003042253937319643
2025-10-16,I4_7,increment,0.29335476724853554,0.22674203147457966,0.3307025307239998,0.3316873475797759,0.0005039879884510349
2025-10-16,I8_14,increment,0.3834480023788537,0.3483925652345687,0.44881092384856874,0.6109148843363885,0.0006345070904943254
2025-10-16,I15_30,increment,0.5846181831880939,0.6225422086008482,0.7332004532339761,1.6304193393743973,0.002097522517758706
weighted_1_2_4_8,Y1,cumulative,0.1384650881852124,0.06225262885362934,0.1447624491693723,0.064036166936386,0.00021126282916230317
weighted_1_2_4_8,Y3,cumulative,0.24428035744371937,0.17441919825982843,0.26802424291479016,0.21950235471104082,0.0003724820017629293
weighted_1_2_4_8,Y7,cumulative,0.37590980493696136,0.35134088028424276,0.44118555873326587,0.594674723199614,0.0006687244928211463
weighted_1_2_4_8,Y14,cumulative,0.5254591760547455,0.5619140728407787,0.6586813526554849,1.325783453802588,0.0013877751762223912
weighted_1_2_4_8,I1,increment,0.1384650881852124,0.06225262885362934,0.1447624491693723,0.064036166936386,0.00021126282916230317
weighted_1_2_4_8,I2_3,increment,0.2053486452747648,0.1287735526578004,0.21979519560035826,0.14764018745233026,0.0002852368540501608
weighted_1_2_4_8,I4_7,increment,0.2957525339008524,0.24268897915441248,0.33024291615339596,0.3332308558446448,0.0004994316121685875
weighted_1_2_4_8,I8_14,increment,0.3950331794614852,0.38648451454320065,0.4592691602463493,0.6451311000376206,0.0006698887816079348
weighted_1_2_4_8,I15_30,increment,0.5845899153347226,0.6556337953905609,0.7286616291039879,1.6223247015105393,0.001944879827577512
