cutoff,mechanism,columns,raw_joint_gain,raw_joint_rho,after_span_joint_gain,after_span_joint_rho,after_count_value_activity_gain,after_EXP080_coarse_timing_gain
2025-09-04,cumulative_Y1_Y14,4.0,0.4602370172554362,0.5475818179796662,1.3665256144879656,0.6610162259997096,0.0013589314698708823,0.009172742566335072
2025-09-04,increments_I1_I15_30,5.0,0.557270809311876,0.6363776978230422,2.3152822268612763,0.8604095079788777,0.010632579720618509,0.022919559641349938
2025-09-04,fine_future_shape,72.0,1.701575541879951,0.7342618135777348,2.6668820955295396,0.923432466867867,0.0015654285826309394,0.0013016172034154515
2025-09-18,cumulative_Y1_Y14,4.0,0.679155958191997,0.5287052074126692,1.3143064506091486,0.6511034707675865,0.0012111200528289769,0.00900911615949232
2025-09-18,increments_I1_I15_30,5.0,0.8403120203261657,0.6262184894622572,2.308033875562512,0.8628251191263027,0.010322161332218098,0.02220790166624994
2025-09-18,fine_future_shape,72.0,1.6649283674394417,0.7271294484207549,2.6367927372415396,0.9222309384789698,0.00146910125160107,0.0012080064726704353
2025-10-02,cumulative_Y1_Y14,4.0,0.6284123744025873,0.5410792899369654,1.3847618359682001,0.6728056903003563,0.0016548171344509877,0.01045121013291972
2025-10-02,increments_I1_I15_30,5.0,0.7286186853406613,0.6130279281697666,2.2346604830240593,0.8546885532010706,0.011291162690211314,0.02306496671992032
2025-10-02,fine_future_shape,72.0,1.5906192501920005,0.7188220616688761,2.5887415582075164,0.9199123741487013,0.0017257735910337977,0.001440705088344513
2025-10-16,cumulative_Y1_Y14,4.0,0.528261535644557,0.5216378908065479,1.2972805548893518,0.6540184799323131,0.0014751786608557618,0.010412997883271768
2025-10-16,increments_I1_I15_30,5.0,0.6480582212066517,0.6118567723762948,2.24585951282631,0.8605267173087452,0.011697031249528558,0.02306146655177379
2025-10-16,fine_future_shape,72.0,1.5531010971466348,0.7153026823130955,2.5619259641728496,0.9190864285576387,0.001752811952817761,0.0013663642380660577
weighted_1_2_4_8,cumulative_Y1_Y14,4.0,0.5705527144270824,0.5294941679336833,1.3274953532462586,0.6591062512129876,0.0014801246266785922,0.010153319898878183
weighted_1_2_4_8,increments_I1_I15_30,5.0,0.6891223573986711,0.6157187045624654,2.2557912008462013,0.8592685131670484,0.011334520209475228,0.022939130817848093
weighted_1_2_4_8,fine_future_shape,72.0,1.5879145369799943,0.7190820277066341,2.586056101081699,0.9200156845921147,0.001695281404834024,0.0013607576271108558
