exp,var_vs_base,corr_resid_base,var_vs_mix,corr_resid_mix
S1-ROUNDS,0.0,1.0,0.006845718318677256,0.9988920511336375
SEQ-01-S42,0.04363248869776726,0.992946996928645,0.037493579406291826,0.9939346161151561
