fold,segment,exp,n,share,rmsle,d_rmsle,auc,d_auc,mse_share
2025-09-04,ВСЕ,SEQ-D3A-BASE-S42,188518,1.0,1.7697531561582953,0.0,0.8393553572275951,0.0,1.0
2025-09-04,ВСЕ,SEQ-D3A-S42,188518,1.0,1.7698868569084734,0.00013370075017804517,0.8392312225762177,-0.00012413465137739443,1.0
2025-09-04,rec_buy 15-60,SEQ-D3A-BASE-S42,53224,0.28232847791722804,1.9697824207192012,0.0,0.7186103753761106,0.0,0.3497565128725521
2025-09-04,rec_buy 15-60,SEQ-D3A-S42,53224,0.28232847791722804,1.969554139047956,-0.0002282816712451119,0.7188231331453412,0.000212757769230576,0.3496226213786063
2025-09-04,w180_days_buy 2-15,SEQ-D3A-BASE-S42,107913,0.5724280970517405,1.9697198924365344,0.0,0.7165418109033701,0.0,0.709095114711956
2025-09-04,w180_days_buy 2-15,SEQ-D3A-S42,107913,0.5724280970517405,1.969513583844659,-0.00020630859187553696,0.7166758284761965,0.0001340175728263837,0.7088394747472572
2025-09-04,пересечение,SEQ-D3A-BASE-S42,43302,0.22969689896985965,2.006806816793661,0.0,0.67842036992689,0.0,0.29535265293888086
2025-09-04,пересечение,SEQ-D3A-S42,43302,0.22969689896985965,2.0067189417939018,-0.00008787499975904112,0.6785055702428701,0.00008520031598002742,0.2952821699709619
2025-09-04,rec_buy 0-14,SEQ-D3A-BASE-S42,86869,0.4607994992520608,1.7414469351780046,0.0,0.7999060014580142,0.0,0.44617691678432897
2025-09-04,rec_buy 0-14,SEQ-D3A-S42,86869,0.4607994992520608,1.7414529585788803,6.0234008756321344e-6,0.7997861222366291,-0.00011987922138501084,0.4461125952143699
2025-09-04,rec_buy 61-180,SEQ-D3A-BASE-S42,23557,0.12495888986728058,1.8326469874131435,0.0,0.6468857772015134,0.0,0.13399833492894975
2025-09-04,rec_buy 61-180,SEQ-D3A-S42,23557,0.12495888986728058,1.8305253558938823,-0.002121631519261147,0.6479250504028304,0.0010392732013170258,0.13366806088134298
2025-09-04,rec_buy 180+,SEQ-D3A-BASE-S42,3903,0.02070359329082634,1.6328202050634206,0.0,0.5842324649500946,0.0,0.01762369906147136
2025-09-04,rec_buy 180+,SEQ-D3A-S42,3903,0.02070359329082634,1.6324896197369974,-0.00033058532642327165,0.5852356938904006,0.0010032289403060224,0.017613902017995474
2025-09-04,никогда не покупал,SEQ-D3A-BASE-S42,20965,0.1112095396726042,1.2153232297775485,0.0,0.6074334672296959,0.0,0.05244453635269774
2025-09-04,никогда не покупал,SEQ-D3A-S42,20965,0.1112095396726042,1.2216365551082236,0.006313325330675079,0.5907496588269221,-0.016683808402773836,0.052982820507685296
2025-09-04,w180_days_buy 0-1,SEQ-D3A-BASE-S42,41580,0.22056249270626677,1.4880213656357841,0.0,0.6822878994780793,0.0,0.15592817804850173
2025-09-04,w180_days_buy 0-1,SEQ-D3A-S42,41580,0.22056249270626677,1.4899771027677358,0.0019557371319516292,0.67744533298006,-0.004842566498019285,0.15631470731744324
2025-09-04,w180_days_buy 16+,SEQ-D3A-BASE-S42,39025,0.20700941024199282,1.4290488215309338,0.0,0.7353926406306743,0.0,0.13497670723954228
2025-09-04,w180_days_buy 16+,SEQ-D3A-S42,39025,0.20700941024199282,1.4284636754621451,-0.0005851460687886778,0.736348062410039,0.0009554217793646957,0.13484581793529962
2025-09-18,ВСЕ,SEQ-D3A-BASE-S42,191025,1.0,1.764971362176542,0.0,0.8406278226715943,0.0,1.0
2025-09-18,ВСЕ,SEQ-D3A-S42,191025,1.0,1.7685257120216473,0.0035543498451053868,0.8392553271655191,-0.0013724955060752109,1.0
2025-09-18,rec_buy 15-60,SEQ-D3A-BASE-S42,57084,0.29882999607381233,1.9554872953059257,0.0,0.7202464625846128,0.0,0.36682494440977037
2025-09-18,rec_buy 15-60,SEQ-D3A-S42,57084,0.29882999607381233,1.954983449509952,-0.0005038457959736231,0.7208146157297556,0.0005681531451428024,0.36516370327275477
2025-09-18,w180_days_buy 2-15,SEQ-D3A-BASE-S42,108979,0.570496008375867,1.963475588772307,0.0,0.7175012644922276,0.0,0.7060383582054189
