exp,train_max,avail,extrap,cal_clip,cal_full,gain,opt_depth,cal_opt,full_minus_opt
SEQ-D3A-BASE-S42,212,289,77,1.7529336583968818,1.7513852638983833,-0.0015483944984984177,261,1.7499550793733356,0.0014301845250477285
SEQ-D3A-S42,212,289,77,1.7526565994060717,1.7489811213137954,-0.0036754780922763075,289,1.7489811213137954,0.0
