fold,exp,train_max,full,cal_ref,ref_depth,cal_full,gain_ref_to_full,opt_depth,cal_opt,full_minus_opt,cal_90,cal_150,cal_180,cal_254
V0904,SEQ-D3A-BASE-S42,212,247,1.7723752015586995,212,1.7697519302416018,-0.0026232713170977195,247,1.7697519302416018,0.0,1.8105223309926268,1.7829220186599437,1.7763635949588876,
V0904,SEQ-D3A-S42,212,247,1.7725564601504284,212,1.7698869854524317,-0.002669474697996721,247,1.7698869854524317,0.0,1.8107405576077251,1.7831024371645672,1.7766383796176746,
V0918,SEQ-D3A-BASE-S42,226,261,1.7687162656241238,212,1.7649729369956253,-0.0037433286284984657,254,1.764757084928878,0.00021585206674723523,1.8069237750409974,1.7789872783456042,1.7727446746865503,1.764757084928878
V0918,SEQ-D3A-S42,226,261,1.7725515241295118,212,1.7685237352779697,-0.004027788851542091,261,1.7685237352779697,0.0,1.8083981646884713,1.782414308359905,1.776582024282315,1.7686165800447695
V1002,SEQ-D3A-BASE-S42,240,275,1.7576517679962198,212,1.7549566725649104,-0.0026950954313094133,254,1.754377392243468,0.0005792803214423881,1.795620588013881,1.76904860416042,1.7626021831522645,1.754377392243468
V1002,SEQ-D3A-S42,240,275,1.7565758920902559,212,1.7536711511514322,-0.0029047409388236467,254,1.7532356567100964,0.0004354944413358375,1.7949342965348194,1.7679471377212606,1.7614251582968867,1.7532356567100964
V1016,SEQ-D3A-BASE-S42,254,289,1.7511638887115548,212,1.7480793216714847,-0.0030845670400700964,275,1.747207994183242,0.0008713274882428124,1.7887642052155848,1.7626598675374545,1.7553501838346064,1.7473629141548854
V1016,SEQ-D3A-S42,254,289,1.7506097594564598,212,1.7463723258888924,-0.00423743356756745,275,1.7460419295324756,0.00033039635641674003,1.7874319611800387,1.7614653869840882,1.7547852173725482,1.746688511074407
