name,family,wcv,base_wcv,delta,wins,wins_recent,latest_delta,worst_delta,raw_delta,offset_mean,offset_std,fold_scores,fold_deltas,notes,oof_table_var,test_table_var,var_ratio,friend_corr,friend_std_dz,friend_mean_abs_dz,friend_pct02,friend_pct05,friend_pct10
ridge_drop_recent_hurdle_stable18_s075,ridge_subset,1.7482567583377555,1.749803702558191,-0.0015469442204357087,3,3,-0.0016618744898704296,0.0,-0.0023243363739783676,-0.023518035306064413,0.0537708663794488,"[1.7692437685920095, 1.7608868133724076, 1.7494315618773606, 1.7418884665275078]","[0.0, -0.00183820692291925, -0.0015581883854334233, -0.0016618744898704296]","experts=['cap', 'unc', 'dist', 'hurdle', 'multiscale_direct', 'recent_direct', 'recent_dist', 'recent_hurdle_fast12']",0.004032208213727961,0.004875699415571783,1.2091884042525611,0.9997312220683123,0.038379258764679215,0.028930432648084602,0.54888,0.170936,0.015664
ridge_core_plus_recent_dist_s075,ridge_subset,1.7483423355191225,1.749803702558191,-0.0014613670390685248,3,3,-0.0015291237256671586,0.0,-0.002238830953523004,-0.02378552697659475,0.053617218606148306,"[1.7692437685920095, 1.7608980788665556, 1.749481342032007, 1.742021217291711]","[0.0, -0.001826941428771267, -0.0015084082307870172, -0.0015291237256671586]","experts=['cap', 'unc', 'dist', 'hurdle', 'recent_dist']",0.003937602661221134,0.004410512146976409,1.1201008650295392,0.9997565700594275,0.036492968719565984,0.027531828671871688,0.529896,0.154044,0.01198
ridge_core_plus_recent_hurdle_fast12_s075,ridge_subset,1.7482578748400925,1.749803702558191,-0.00154582771809831,3,3,-0.0016649779367676754,0.0,-0.002324452413251669,-0.023513624248265065,0.05374598180561629,"[1.7692437685920095, 1.7609262770734302, 1.749422223804409, 1.7418853630806106]","[0.0, -0.0017987432218966593, -0.0015675264583849824, -0.0016649779367676754]","experts=['cap', 'unc', 'dist', 'hurdle', 'recent_hurdle_fast12']",0.003953353820558841,0.004836796815309581,1.2234667158189898,0.9997338701283935,0.038224293931688344,0.02876568709956078,0.546284,0.169456,0.015464
ridge_core_s075,ridge_subset,1.7483770554180584,1.749803702558191,-0.0014266471401325495,3,3,-0.00148010758895456,0.0,-0.00220604658037414,-0.0238799025066596,0.0535259539024269,"[1.7692437685920095, 1.7609189760913373, 1.7495030607672009, 1.7420702334284237]","[0.0, -0.0018060442039895541, -0.001486689495593163, -0.00148010758895456]","experts=['cap', 'unc', 'dist', 'hurdle']",0.0038538119226887557,0.004245430887954442,1.1016185981884812,0.9997643934196101,0.035809092259652085,0.02690989466600651,0.520992,0.146256,0.010916
ridge_core_plus_recent_direct_s075,ridge_subset,1.748375380522078,1.749803702558191,-0.0014283220361130352,3,3,-0.001493342510417106,0.0,-0.0022081353442549912,-0.0238348165206668,0.053545471590070226,"[1.7692437685920095, 1.7609221543386941, 1.7495216606265207, 1.7420569985069612]","[0.0, -0.0018028659566327043, -0.0014680896362733176, -0.001493342510417106]","experts=['cap', 'unc', 'dist', 'hurdle', 'recent_direct']",0.003869721491416976,0.004324492485279734,1.1175203421929556,0.999761477257596,0.0361329151336018,0.027209332671899327,0.526228,0.149724,0.01134
ridge_core_plus_multiscale_direct_s075,ridge_subset,1.7483788595948475,1.749803702558191,-0.0014248429633435754,3,3,-0.0014725471438383764,0.0,-0.002206776276751536,-0.023977344300426615,0.053418437117657966,"[1.7692437685920095, 1.7609081729928475, 1.749500107089172, 1.74207779387354]","[0.0, -0.0018168473024793297, -0.0014896431736219906, -0.0014725471438383764]","experts=['cap', 'unc', 'dist', 'hurdle', 'multiscale_direct']",0.0038672908914413277,0.004319911553832531,1.1170381735164776,0.9997607261258729,0.03611751926652844,0.027205361350818278,0.526268,0.149384,0.011288
ridge_drop_recent_hurdle_stable18_s075__slotbeta875,ridge_subset_slotstrength,1.7482998991040963,1.749803702558191,-0.0015038034540948728,3,3,-0.0016065329991197252,0.0,-0.0022776877529314455,-0.029386448350013524,0.05025713006680975,"[1.7692437685920095, 1.7609381851377675, 1.7494569708869574, 1.7419438080182585]","[0.0, -0.0017868351575593966, -0.0015327793758366237, -0.0016065329991197252]",beta=0.875,0.0030871594136354695,0.003732957365047147,1.2091884042525616,0.9997938138526201,0.033588089741865716,0.02531982255835442,0.49914,0.12396,0.007888
ridge_core_plus_recent_dist_s075__slotbeta875,ridge_subset_slotstrength,1.7483791828797743,1.749803702558191,-0.0014245196784167468,3,3,-0.0014841313416025237,0.0,-0.002197433949343471,-0.029620444108804385,0.05012522068458307,"[1.7692437685920095, 1.7609508908238227, 1.7495031288876883, 1.7420662096757757]","[0.0, -0.0017741294715041267, -0.00148662137510569, -0.0014841313416025237]",beta=0.875,0.0030147270374974297,0.003376798362528812,1.1201008650295394,0.9998132666772231,0.031938683912605896,0.02409671490166489,0.47872,0.109872,0.00592
ridge_core_plus_recent_hurdle_fast12_s075__slotbeta875,ridge_subset_slotstrength,1.7483025495257658,1.749803702558191,-0.001501153032425151,3,3,-0.0016091315458124367,0.0,-0.0022762556180515444,-0.029382630694123578,0.05023629896311449,"[1.7692437685920095, 1.760980050830407, 1.7494511742152845, 1.7419412094715658]","[0.0, -0.0017449694649198655, -0.00153857604750951, -0.0016091315458124367]",beta=0.875,0.003026786518865363,0.003703172561721399,1.2234667158189898,0.9997958436953933,0.03345254461761981,0.02517571209061937,0.495544,0.122896,0.007788
ridge_core_plus_recent_direct_s075__slotbeta875,ridge_subset_slotstrength,1.7484107925600434,1.749803702558191,-0.0013929099981477104,3,3,-0.0014511537994339463,0.0,-0.0021673603421816937,-0.029663537865314404,0.05004940599603792,"[1.7692437685920095, 1.7609719123019225, 1.7495451993653102, 1.7420991872179443]","[0.0, -0.0017531079934043348, -0.001444550897483854, -0.0014511537994339463]",beta=0.875,0.002962755516866121,0.0033109395590422966,1.1175203421929563,0.999817030286236,0.031623846816634514,0.02381461879555961,0.473984,0.10622,0.005768
