probe,metric,n,n_both_history,history_share,pearson_all,pearson_history,spearman_history,auc_positive_2026,slope_crossfit,mse_baseline,mse_yoy,r2_oos
yoy_holiday,gmv,250000,65235,0.26094,0.0146615331219418,0.025447531011421803,0.03139762976319742,0.515471977614315,0.037681474255784234,7.532741054341476,7.528019026859387,0.0006268670923404995
yoy_holiday,orders,250000,65235,0.26094,0.02572861621307589,0.04011707885162699,0.03833305145473321,0.5182233976219507,0.062483104254112534,0.9008230250696605,0.8993073160401088,0.0016825824688866398
yoy_holiday,days_buy,250000,65235,0.26094,0.025255210832714543,0.03996178823110417,0.03905495732126981,0.5203089970953637,0.0763154638482591,0.535397199390236,0.534487569378761,0.0016989816392596335
yoy_holiday,cart,250000,118800,0.4752,0.030230738315358004,0.04116876153051554,0.03817120079182992,0.5189944443952413,0.06885462039219109,1.2255877130185555,1.2234545314284793,0.0017405376762650304
yoy_holiday,searches,250000,174418,0.697672,0.037995564724247866,0.04664175533830999,0.04586454569525898,0.5229242749647592,0.08306070011855463,1.1079992671225023,1.1053972952584028,0.002348351611149435
yoy_holiday,catalog,250000,64813,0.259252,0.017152072474612454,0.027886817445785753,0.027184738269733263,0.5139852322142965,0.04874594507202565,0.5546305920613196,0.5541947208335796,0.0007858766429021946
placebo,gmv,250000,66518,0.266072,0.005491703437360705,0.00954083192631515,0.009915097835193183,0.5052174273595627,0.0140786163708119,7.346031046387884,7.345732359799612,0.000040659586977742634
placebo,orders,250000,66518,0.266072,0.010053972062555141,0.01585603921347637,0.01461113437524949,0.5070436028788321,0.0236295845333561,0.8843138435426859,0.8842106866505632,0.00011665190234888545
placebo,days_buy,250000,66518,0.266072,0.007962219682992487,0.012811408822293629,0.012247882649913017,0.5054755718853513,0.023326594878731767,0.5278545329614833,0.5278137817735357,0.00007720154967516546
placebo,cart,250000,121195,0.48478,0.009643643238155484,0.013208071026260941,0.01293098283100787,0.5058499485395067,0.02072323840293843,1.1712768073881918,1.1710956640172303,0.00015465462119534923
placebo,searches,250000,178156,0.712624,0.012535246923504547,0.015101976550032961,0.014787300319878795,0.5065324925607033,0.027531413822970332,1.0772970817944614,1.077081000108139,0.00020057762150660352
placebo,catalog,250000,65459,0.261836,0.005276293669704141,0.00866842118327793,0.010711587951639913,0.5063629795160496,0.014478530679494596,0.5405196945727301,0.5405526367729385,-0.000060945420748304
