exp,arm,lam,var_dz_vs_BASE,corr_z_vs_BASE,corr_resid_vs_BASE
FNL-BASE-L00-S42,BASE,0.0,0.0,1.0,1.0
FNL-FUNNEL-L30-S42,FUNNEL,0.3,0.030645011888153464,0.993653240465347,0.9949798546137824
FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,0.025482982540487815,0.9949230550714552,0.9958231685494303
FNL-CART-L30-S42,CART,0.3,0.028686953417416474,0.994026672752547,0.9953017835225956
FNL-FUNNEL-L10-S42,FUNNEL,0.1,0.027626818876190406,0.9945401361996947,0.9954718469252715
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,0.025162788364518084,0.9949784820321568,0.9958758949322534
FNL-CART-L10-S42,CART,0.1,0.02583238366809091,0.9947399388995593,0.9957662613970936
FNL-BASER2-L00-S42,BASE-R2,0.0,0.02040988817824472,0.9957804363087228,0.99665747850014
