exp,arm,lam,head,kind,trained_on,prevalence,own_head,main_z_head,gap
FNL-FUNNEL-L10-S42,FUNNEL,0.1,log_search_30,reg,true,3.050333023071289,0.781441474346246,0.5639718726540455,0.21746960169220053
FNL-FUNNEL-L10-S42,FUNNEL,0.1,buy30,bin,false,0.6128615736961365,,0.8426238145580158,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_cart_7,bin,false,0.5259779691696167,,0.7582190927427186,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_cart_14,bin,false,0.6842268109321594,,0.7793132250775653,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_cart_30,bin,false,0.8326671123504639,,0.8086598148533051,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,log_cart_30,reg,false,1.8913331031799316,,0.6088860018213227,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_search_7,bin,false,0.7708165645599365,,0.7469349584287686,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_search_14,bin,false,0.8877540230751038,,0.7717501333277446,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,any_search_30,bin,false,0.9618044495582581,,0.8020200327729716,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,log_search_30,reg,false,3.050333023071289,,0.5701984632798506,
FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,buy30,bin,true,0.6128615736961365,0.8463851007936143,0.8429173350537578,0.003467765739856521
FNL-CART-L10-S42,CART,0.1,any_cart_7,bin,true,0.5259779691696167,0.8122483497839724,0.7575368600661938,0.054711489717778616
FNL-CART-L10-S42,CART,0.1,any_cart_14,bin,true,0.6842268109321594,0.8331697975080768,0.7788403773314707,0.054329420176606136
FNL-CART-L10-S42,CART,0.1,any_cart_30,bin,true,0.8326671123504639,0.8617387624443653,0.80880070347892,0.052938058965445345
FNL-CART-L10-S42,CART,0.1,log_cart_30,reg,true,1.8913331031799316,0.7730990595797355,0.605252066595687,0.16784699298404848
FNL-CART-L10-S42,CART,0.1,any_search_7,bin,false,0.7708165645599365,,0.7454293383382475,
FNL-CART-L10-S42,CART,0.1,any_search_14,bin,false,0.8877540230751038,,0.7709039557715094,
FNL-CART-L10-S42,CART,0.1,any_search_30,bin,false,0.9618044495582581,,0.8031392339969817,
FNL-CART-L10-S42,CART,0.1,log_search_30,reg,false,3.050333023071289,,0.5645011362829735,
FNL-CART-L10-S42,CART,0.1,buy30,bin,false,0.6128615736961365,,0.8427685910607631,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_cart_7,bin,false,0.5259779691696167,,0.7561290068464842,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_cart_14,bin,false,0.6842268109321594,,0.7772060248147319,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_cart_30,bin,false,0.8326671123504639,,0.8067555653983711,
FNL-BASER2-L00-S42,BASE-R2,0.0,log_cart_30,reg,false,1.8913331031799316,,0.6033838515359798,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_search_7,bin,false,0.7708165645599365,,0.7443554794912924,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_search_14,bin,false,0.8877540230751038,,0.7690943293522486,
FNL-BASER2-L00-S42,BASE-R2,0.0,any_search_30,bin,false,0.9618044495582581,,0.799980235868022,
FNL-BASER2-L00-S42,BASE-R2,0.0,log_search_30,reg,false,3.050333023071289,,0.5636360461258572,
FNL-BASER2-L00-S42,BASE-R2,0.0,buy30,bin,false,0.6128615736961365,,0.842288875911248,
