contrast,hi,lo,rmsle_lo,rmsle_hi,d_rmsle_cal,auc_lo,d_auc,var_raw,var_cal,corr_pred,corr_resid,d_offset
"приём, сид 42",D3A42,BASE42,1.764971362176542,1.7685257120216473,0.0035543498451053868,0.8406278226715943,-0.0013724955060752109,0.0350824404768667,0.03506638431279702,0.9934656980795238,0.9943849263207883,-0.022675906192132333
"приём, сид 43",D3A43,BASE43,1.7640228104768787,1.7636722836143575,-0.00035052686252123877,0.8410178772767084,-0.0000721256046166685,0.01858250384465871,0.018580801714149126,0.9962632910588555,0.9970138646018695,0.042071771647964565
"сид, BASE 43-42",BASE43,BASE42,1.764971362176542,1.7640228104768787,-0.0009485516996632359,0.8406278226715943,0.0003900546051140985,0.022336994343866014,0.022332425091972346,0.9955347818719326,0.9964137006827359,0.019824597923251572
"сид, D3A 43-42",D3A43,D3A42,1.7685257120216473,1.7636722836143575,-0.0048534284072898615,0.8392553271655191,0.0016904245065726409,0.03541074006596334,0.03540625203610142,0.9926463991629615,0.9943280595730916,0.08457227576334847
