contrast,segment,n,share,rmsle_lo,rmsle_hi,d_rmsle,bias_lo,bias_hi,offset_loc_lo,offset_loc_hi,d_rmsle_seglocal,auc_lo,d_auc,mse_share
"приём, сид 43",ВСЕ,191025,1.0,1.7640228104768787,1.7636722836143575,-0.00035052686252123877,0.0000959091917419134,0.00008203754937550025,-0.04692110024690917,-0.004849328598944605,-0.00035052686252123877,0.8410178772767084,-0.0000721256046166685,1.0
"приём, сид 43",rec_buy 15-60,57084,0.29882999607381233,1.9555804194121327,1.9550963485315638,-0.0004840708805688987,-0.03672764219047005,-0.040645611027007596,-0.08364874243737919,-0.04549493962595216,-0.0005616986413912173,0.7205415122684891,-0.00015239128883792752,0.3672186573684831
"приём, сид 43",w180_days_buy 2-15,108979,0.570496008375867,1.9631084110215762,1.9625144419880063,-0.0005939690335698966,-0.010522587971994927,-0.011547433793079995,-0.057443688218904075,-0.01639676239202458,-0.0005997402599331458,0.7179566177718728,-0.00034077382863895167,0.7063867638816679
"приём, сид 43",пересечение,46309,0.24242376652270645,1.99273956637573,1.991992705197313,-0.0007468611784169354,-0.03411689667150134,-0.03507118845594048,-0.0810379969184105,-0.03992051705488506,-0.0007635459585950688,0.6792920990985027,-0.00016821567562341766,0.3092536983171262
"приём, сид 43",rec_buy 0-14,85135,0.4456746499149326,1.7184282335514849,1.7181535712143026,-0.0002746623371823187,0.01543127963750299,0.030179994386143973,-0.03148982060940601,0.025330665787199374,-0.0004704571746874109,0.8025726085767328,-0.0003666828619278695,0.42296663522325983
"приём, сид 43",rec_buy 61-180,23632,0.12371155607904724,1.8510886296006046,1.851097598157584,8.968556979294107e-6,0.011546744012064307,-0.026993459939027374,-0.03537435623484485,-0.03196262195607208,-0.00015185380837579032,0.6524470558872656,-0.0002894849002631483,0.1362803136138947
"приём, сид 43",rec_buy 180+,4602,0.02409108755398508,1.6499133036642746,1.6505592355370016,0.0006459318727269903,-0.014894114172912679,-0.05377030679273732,-0.06181521441982185,-0.05861963539168191,-0.00016291137559654167,0.580542217820657,-0.0016325336780624866,0.021100019468787205
"приём, сид 43",никогда не покупал,20572,0.10769271037822274,1.231797546721576,1.2306449712199765,-0.0011525755015995287,0.029010783936667034,0.03168733510645832,-0.018222447408436544,0.026863490632944142,-0.0012276694312929326,0.6025373530077078,0.010323367086167323,0.05243437432557532
"приём, сид 43",w180_days_buy 0-1,41940,0.21955241460541813,1.509567133660047,1.5098059514104916,0.00023881775044465314,0.012989283922976253,-0.008754387012497292,-0.0341165202845142,-0.014099755646783313,0.00026390101227491414,0.6816372625409954,0.0015588596933090448,0.16089579862433584
"приём, сид 43",w180_days_buy 16+,40106,0.20995157701871484,1.4023496573505907,1.4022398764172792,-0.00010978093331148742,0.015466304299179915,0.04092300407693752,-0.031454795947728924,0.036073675477992916,-0.0006217667600860732,0.7426402696909878,0.00034760697414915054,0.1327174374939965
"сид, BASE 43-42",ВСЕ,191025,1.0,1.764971362176542,1.7640228104768787,-0.0009485516996632359,0.000029526500518546848,0.0000959091917419134,-0.06674569817016074,-0.04692110024690917,-0.0009485516996632359,0.8406278226715943,0.0003900546051140985,1.0
"сид, BASE 43-42",rec_buy 15-60,57084,0.29882999607381233,1.9554872953059257,1.9555804194121327,0.00009312410620698763,-0.0413014876521861,-0.03672764219047005,-0.10804718582234696,-0.08364874243737919,0.00018441304772509604,0.7202464625846128,0.0002950496838762806,0.36725452550652965
"сид, BASE 43-42",w180_days_buy 2-15,108979,0.570496008375867,1.963475588772307,1.9631084110215762,-0.00036717775073080716,-0.01596981886725413,-0.010522587971994927,-0.08271551703741498,-0.057443688218904075,-0.00033043347683303637,0.7175012644922276,0.00045535327964518757,0.7065335420163317
"сид, BASE 43-42",пересечение,46309,0.24242376652270645,1.9931033033673982,1.99273956637573,-0.0003637369916682509,-0.04006379345635176,-0.03411689667150134,-0.1068094916265126,-0.0810379969184105,-0.00025310316303372993,0.6787796666166752,0.0005124324818275294,0.3093626569870893
"сид, BASE 43-42",rec_buy 0-14,85135,0.4456746499149326,1.7186673833896668,1.7184282335514849,-0.00023914983818196234,0.0079828791611542,0.01543127963750299,-0.058762819009006644,-0.03148982060940601,-0.0002898971875839873,0.8020670102014285,0.0005055983753043947,0.42293374466224015
"сид, BASE 43-42",rec_buy 61-180,23632,0.12371155607904724,1.8510724251894848,1.8510886296006046,0.000016204411119824513,0.007458350381226203,0.011546744012064307,-0.05928734778893463,-0.03537435623484485,-4.7834794298928784e-6,0.6535196229385452,-0.0010725670512795604,0.1362248387720739
"сид, BASE 43-42",rec_buy 180+,4602,0.02409108755398508,1.6513739221939212,1.6499133036642746,-0.001460618529646629,-0.02136773747141242,-0.014894114172912679,-0.08811343564157324,-0.06181521441982185,-0.0013895977359805745,0.5809108094505575,-0.00036859162990054983,0.021075129960434275
"сид, BASE 43-42",никогда не покупал,20572,0.10769271037822274,1.242983342336158,1.231797546721576,-0.011185795614581995,0.07805515239881326,0.029010783936667034,0.011447165439661004,-0.018222447408436544,-0.009067180602358338,0.5969610765827394,0.005576276424968385,0.0525117610987221
"сид, BASE 43-42",w180_days_buy 0-1,41940,0.21955241460541813,1.5140743769008647,1.509567133660047,-0.004507243240817749,0.036302082959303476,0.012989283922976253,-0.03047469311751396,-0.0341165202845142,-0.004126914901537271,0.6782240276166986,0.003413234924296793,0.16078098612488598
"сид, BASE 43-42",w180_days_buy 16+,40106,0.20995157701871484,1.4015560145892874,1.4023496573505907,0.000793642761303337,0.005572877643815262,0.015466304299179915,-0.061172820526345595,-0.031454795947728924,0.0007194318939536259,0.7427652201431139,-0.00012495045212601585,0.1326854718587824
"сид, D3A 43-42",ВСЕ,191025,1.0,1.7685257120216473,1.7636722836143575,-0.0048534284072898615,1.5979539813246383e-16,0.00008203754937550025,-0.08942160436229307,-0.004849328598944605,-0.0048534284072898615,0.8392553271655191,0.0016904245065726409,1.0
"сид, D3A 43-42",rec_buy 15-60,57084,0.29882999607381233,1.954983449509952,1.9550963485315638,0.00011289902161171206,-0.008902263219609803,-0.040645611027007596,-0.09832386758190305,-0.04549493962595216,-0.0002893801207557445,0.7208146157297556,-0.00042549475010444926,0.3672186573684831
"сид, D3A 43-42",w180_days_buy 2-15,108979,0.570496008375867,1.9626206327204532,1.9625144419880063,-0.00010619073244688693,0.030275108148270852,-0.011547433793079995,-0.0591464962140224,-0.01639676239202458,0.00009336008676630314,0.7181945536871517,-0.0005787097439178268,0.7063867638816679
"сид, D3A 43-42",пересечение,46309,0.24242376652270645,1.9923609544064937,1.991992705197313,-0.000368249209180771,-0.0017664089541176548,-0.03507118845594048,-0.0911880133164109,-0.03992051705488506,-0.000676223220062111,0.6793095547860099,-0.00018567136313052401,0.3092536983171262
"сид, D3A 43-42",rec_buy 0-14,85135,0.4456746499149326,1.718661619918887,1.7181535712143026,-0.0005080487045845405,0.05381548133613741,0.030179994386143973,-0.03560612302615588,0.025330665787199374,0.00006962306150271047,0.8033270255157948,-0.0011210998009898443,0.42296663522325983
"сид, D3A 43-42",rec_buy 61-180,23632,0.12371155607904724,1.8519547327795614,1.851097598157584,-0.0008571346219774512,0.005272389421562241,-0.026993459939027374,-0.08414921494073092,-0.03196262195607208,-0.0010464654677966312,0.650830598805844,0.0013269721811584034,0.1362803136138947
"сид, D3A 43-42",rec_buy 180+,4602,0.02409108755398508,1.651327804992017,1.6505592355370016,-0.0007685694550154665,-0.08070716598429965,-0.05377030679273732,-0.17012877034659282,-0.05861963539168191,0.0003287841409638226,0.5774987366921424,0.0014109474504521158,0.021100019468787205
"сид, D3A 43-42",никогда не покупал,20572,0.10769271037822274,1.2897515820263106,1.2306449712199765,-0.05910661080633406,-0.1860094759320646,0.03168733510645832,-0.27544191602764273,0.026863490632944142,-0.0460282293153107,0.5332913735276971,0.07956934656617809,0.05243437432557532
"сид, D3A 43-42",w180_days_buy 0-1,41940,0.21955241460541813,1.5342280652551297,1.5098059514104916,-0.024422113844638105,-0.1152354893398879,-0.008754387012497292,-0.20465775893695543,-0.014099755646783313,-0.020116448951086108,0.6535673756498903,0.029628746584414167,0.16089579862433584
"сид, D3A 43-42",w180_days_buy 16+,40106,0.20995157701871484,1.403230636063701,1.4022398764172792,-0.0009907596464218127,0.038239301152558684,0.04092300407693752,-0.05118230320973461,0.036073675477992916,-0.0010669113448571466,0.747544566565386,-0.004556689900249045,0.1327174374939965
