contrast,segment,n,share,rmsle_lo,rmsle_hi,d_rmsle,bias_lo,bias_hi,offset_loc_lo,offset_loc_hi,d_rmsle_seglocal,auc_lo,d_auc,mse_share
"приём, сид 42",ВСЕ,191025,1.0,1.764971362176542,1.7685257120216473,0.0035543498451053868,0.000029526500518546848,1.5979539813246383e-16,-0.06674569817016074,-0.08942160436229307,0.0035543498451053868,0.8406278226715943,-0.0013724955060752109,1.0
"приём, сид 42",rec_buy 15-60,57084,0.29882999607381233,1.9554872953059257,1.954983449509952,-0.0005038457959736231,-0.0413014876521861,-0.008902263219609803,-0.10804718582234696,-0.09832386758190305,-0.00008790547291037676,0.7202464625846128,0.0005681531451428024,0.36516370327275477
"приём, сид 42",w180_days_buy 2-15,108979,0.570496008375867,1.963475588772307,1.9626206327204532,-0.0008549560518538168,-0.01596981886725413,0.030275108148270852,-0.08271551703741498,-0.0591464962140224,-0.0010235338235324853,0.7175012644922276,0.0006932891949240627,0.7025909865566342
"приём, сид 42",пересечение,46309,0.24242376652270645,1.9931033033673982,1.9923609544064937,-0.0007423489609044154,-0.04006379345635176,-0.0017664089541176548,-0.1068094916265126,-0.0911880133164109,-0.00034042590156668773,0.6787796666166752,0.0005298881693346358,0.307672359442677
"приём, сид 42",rec_buy 0-14,85135,0.4456746499149326,1.7186673833896668,1.718661619918887,-5.763470779740487e-6,0.0079828791611542,0.05381548133613741,-0.058762819009006644,-0.03560612302615588,-0.0008299774237741087,0.8020670102014285,0.0012600153143663695,0.4208970994198371
"приём, сид 42",rec_buy 61-180,23632,0.12371155607904724,1.8510724251894848,1.8519547327795614,0.0008823075900765698,0.007458350381226203,0.005272389421562241,-0.05928734778893463,-0.08414921494073092,0.000889828179990948,0.6535196229385452,-0.002689024132701112,0.13565888623508074
"приём, сид 42",rec_buy 180+,4602,0.02409108755398508,1.6513739221939212,1.651327804992017,-0.000046117201904172234,-0.02136773747141242,-0.08070716598429965,-0.08811343564157324,-0.17012877034659282,-0.0018812932525409387,0.5809108094505575,-0.0034120727584151522,0.021003914252907444
"приём, сид 42",никогда не покупал,20572,0.10769271037822274,1.242983342336158,1.2897515820263106,0.046768239690152535,0.07805515239881326,-0.1860094759320646,0.011447165439661004,-0.27544191602764273,0.03573337928165943,0.5969610765827394,-0.06366970305504238,0.05727639681942012
"приём, сид 42",w180_days_buy 0-1,41940,0.21955241460541813,1.5140743769008647,1.5342280652551297,0.02015368835426501,0.036302082959303476,-0.1152354893398879,-0.03047469311751396,-0.20465775893695543,0.01625343506182375,0.6782240276166986,-0.02465665196680833,0.165232436548591
"приём, сид 42",w180_days_buy 16+,40106,0.20995157701871484,1.4015560145892874,1.403230636063701,0.0016746214744136623,0.005572877643815262,0.038239301152558684,-0.061172820526345595,-0.05118230320973461,0.0011645764787246993,0.7427652201431139,0.004779346422272179,0.13217657689477502
