exp,cutoff,rmsle_cal,auc
S1-ROUNDS-R300,2025-09-04,1.77106,0.83925
S1-ROUNDS-R300,2025-09-18,1.7648,0.84137
S1-ROUNDS-R300,2025-10-02,1.75243,0.84307
S1-ROUNDS-R300,2025-10-16,1.74447,0.84403
SAMPLE-DENSE-S3-F422-S42-R200,2025-09-04,1.77172,0.8391
SAMPLE-DENSE-S3-F422-S42-R200,2025-09-18,1.76582,0.84091
SAMPLE-DENSE-S3-F422-S42-R200,2025-10-02,1.75414,0.84257
SAMPLE-DENSE-S3-F422-S42-R200,2025-10-16,1.74564,0.84364
