segment,exp,n,share,mse_share,rmsle,auc,rmsle_folds,auc_folds,auc_pooled
ВСЕ,S1-ROUNDS-R300,770616,1.0,1.0,1.7510761896769207,0.8431008885067256,"[1.77106, 1.7648, 1.75243, 1.74447]","[0.83925, 0.84137, 0.84307, 0.84403]",0.8419577668126821
ВСЕ,SAMPLE-DENSE-S3-F422-S42-R200,770616,1.0,1.0,1.7523386398951213,0.8426844030354176,"[1.77172, 1.76582, 1.75414, 1.74564]","[0.8391, 0.84091, 0.84257, 0.84364]",0.8415802811553339
rec_buy 15-60,S1-ROUNDS-R300,223152,0.28957613130275,0.3587213158607483,1.9499512434005737,0.719118073555056,"[1.97314, 1.95822, 1.95258, 1.94367]","[0.71693, 0.72002, 0.71733, 0.72006]",
rec_buy 15-60,SAMPLE-DENSE-S3-F422-S42-R200,223152,0.28957613130275,0.35865768790245056,1.9515083074569701,0.7179104047391518,"[1.97373, 1.95806, 1.95473, 1.94548]","[0.71658, 0.71921, 0.71563, 0.71889]",
w180_days_buy 2-15,S1-ROUNDS-R300,438482,0.5690019413040995,0.7066085934638977,1.9529046217600505,0.7175027221269185,"[1.97229, 1.96485, 1.95156, 1.94817]","[0.71575, 0.71786, 0.71861, 0.71708]",
w180_days_buy 2-15,SAMPLE-DENSE-S3-F422-S42-R200,438482,0.5690019413040995,0.7066761255264282,1.9544162114461263,0.7165676818718928,"[1.97317, 1.96599, 1.95357, 1.9496]","[0.71548, 0.71691, 0.71741, 0.7162]",
