seed,segment,n,base_error,buytrue_error,buyshuf_error,buytrue_minus_buyshuf,buytrue_minus_base
42,rec_buy 15-60,56145,1.9444454752832265,1.94394656241838,1.9439278790192458,1.8683399134244993e-05,-0.0004989128648464902
42,w180_days_buy 2-15,111441,1.9497551146183072,1.9492774389488627,1.9493176326272332,-4.019367837049259e-05,-0.00047767566944445505
42,пересечение,45667,1.9853391698817444,1.9845158253068316,1.9845671720536653,-5.134674683371365e-05,-0.0008233445749128432
42,никогда не покупал,20384,1.1912476414071649,1.190607245946494,1.18609950110594,0.00450774484055394,-0.0006403954606708506
42,w180_days_buy 0-1,42698,1.4703791309237406,1.46898067904976,1.4680536532728552,0.000927025776904733,-0.0013984518739806884
42,w180_days_buy 16+,43240,1.4137672546311395,1.4132357212705051,1.4126242943785814,0.0006114268919237276,-0.0005315333606343842
43,rec_buy 15-60,56145,1.9432073824744862,1.9435390324556732,1.9436112859530117,-7.225349733852582e-05,0.00033164998118695443
43,w180_days_buy 2-15,111441,1.9482723122030823,1.9489672496828903,1.9491141078700758,-0.0001468581871855168,0.0006949374798079777
43,пересечение,45667,1.9837534679099338,1.98457782803408,1.984594249115214,-1.642108113397711e-05,0.0008243601241462173
43,никогда не покупал,20384,1.1972063327838518,1.185266242942639,1.1857844789859469,-0.000518236043307807,-0.011940089841212753
43,w180_days_buy 0-1,42698,1.4716827536253463,1.4674664897351166,1.4675283483146906,-6.185857957397012e-05,-0.004216263890229666
43,w180_days_buy 16+,43240,1.4118577868163877,1.4105521952537898,1.4109587628669702,-0.00040656761318036416,-0.0013055915625979075
44,rec_buy 15-60,56145,1.9447305875359209,1.944105264379443,1.9446838258019876,-0.0005785614225446434,-0.0006253231564778972
44,w180_days_buy 2-15,111441,1.949877734589387,1.950373209167442,1.950100796353319,0.0002724128141229354,0.0004954745780549885
44,пересечение,45667,1.9851732369749027,1.9848264653651753,1.9852884531881574,-0.00046198782298212393,-0.0003467716097274032
44,никогда не покупал,20384,1.1869613533921013,1.1895158400594756,1.1868743792550067,0.0026414608044689203,0.002554486667374345
44,w180_days_buy 0-1,42698,1.4680114235468622,1.4686915940951784,1.4675921026188106,0.0010994914763677865,0.0006801705483161502
44,w180_days_buy 16+,43240,1.4147815635031133,1.4196549569015116,1.4146453178225868,0.00500963907892471,0.004873393398398207
