seed,arm,n_positive,n_zero,positive_mse_contribution,positive_rmse,zero_mse_contribution,zero_rmse
42,BASE,120966,76413,1.7284943303647726,1.6793947525009356,1.323436774503803,1.8489213867153502
42,BUYTRUE,120966,76413,1.7133078656718592,1.672000937119119,1.3363532765411876,1.8579220469423368
42,BUYSHUF,120966,76413,1.7099081429403995,1.6703412347469455,1.3388739700792216,1.8596734721892632
43,BASE,120966,76413,1.7235192784760573,1.6769761455748626,1.3247961117231335,1.8498706812584955
43,BUYTRUE,120966,76413,1.725065212730111,1.6777280703766804,1.321291306955625,1.8474221047346928
43,BUYSHUF,120966,76413,1.7194446035705642,1.6749926528056718,1.3275257077417388,1.851775427711681
44,BASE,120966,76413,1.7191801828366904,1.6748638554560602,1.332144390662221,1.8549939481823539
44,BUYTRUE,120966,76413,1.703413873972977,1.6671662206983826,1.3524599841138885,1.869085029606146
44,BUYSHUF,120966,76413,1.7146448697544008,1.672653194711938,1.336820135614032,1.858246553955778
