fold,seed,alpha,score,delta_vs_exp037
2025-10-16,42,0.0,1.7412785664162476,0.0
2025-10-16,42,0.25,1.741256549761685,-2.2016654562584392e-05
2025-10-16,42,0.5,1.7414169780113413,0.000138411595093757
2025-10-16,42,0.75,1.7417598007518658,0.00048123433561819695
2025-10-16,42,1.0,1.7422849103160614,0.0010063438998137997
2025-10-16,42,1.25,1.7429921419518086,0.0017135755355610627
2025-10-16,42,1.5,1.7438812740801197,0.0026027076638721613
2025-10-16,42,2.0,1.7462040715285598,0.004925505112312267
