config,wcv,fold_0904,fold_0918,fold_1002,fold_1016
S1-DIST-MIX (база),1.7494835973237886,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
S1-ROUNDS,1.7494789715806875,1.7690845433666018,1.7625714110192685,1.7506938280315174,1.7431477370223882
SEQ-AVG2,1.7486042982842673,1.7680024070778217,1.761454058727489,1.7497733376656117,1.7423825748835955
SEQ-AVG3,1.748593062000984,1.7679889035970306,1.7614987244822142,1.749738328672783,1.742369532845271
