exp,var_vs_base,corr_resid_base,var_vs_mix,corr_resid_mix
S1-ROUNDS,0.0,1.0,0.006845718318677256,0.9988920511336375
SEQ-AVG2,0.03660471737384796,0.9940762634573983,0.030538962995884558,0.9950531546224899
SEQ-AVG3,0.03458574041724205,0.9944014732019129,0.028440804184255174,0.9953915141427696
