a,b,corr,std,mae,pct02,pct05,pct10
blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,xmeta_div4_p23_l31_risk__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,0.9999586382117441,0.01511988397201926,0.010966782349091344,0.116252,0.011348,0.000792
blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,xraw_occ_r10_fast_adapt__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,0.9999727252487356,0.011982219870364264,0.008907175541621971,0.076548,0.005264,8e-05
blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,hier_trust_bias_ridge_recentpow1p7_s075,0.9999790002378744,0.011512657287044665,0.009005974481442108,0.077716,0.000504,6e-05
xmeta_div4_p23_l31_risk__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,xraw_occ_r10_fast_adapt__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,0.9999675008366053,0.012929997467030998,0.00909406207468146,0.09448,0.005956,0.000372
xmeta_div4_p23_l31_risk__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,hier_trust_bias_ridge_recentpow1p7_s075,0.9999552119296261,0.01502750152673924,0.010699458093297752,0.13852,0.009212,0.00062
xraw_occ_r10_fast_adapt__blend_ridge_recentpow1p7_s075__greedy35_finalizable_pr85,hier_trust_bias_ridge_recentpow1p7_s075,0.9999594224522498,0.014514366394401863,0.010674139007661714,0.15894,0.004692,0.000172
