depth,static,rmsle_cal,d,mean_z,var_vs_full
full,кал.,1.763901862867506,0.0,2.7884504795074463,0.0
254,кал.,1.7643119614159721,0.00041009854846607574,2.7813456058502197,0.0015524730551987886
254,=254,1.763619894714145,-0.0002819681533610119,2.7777955532073975,0.0016541396034881473
212,кал.,1.7689180689356072,0.005016206068101159,2.7271625995635986,0.015333736315369606
212,=212,1.765143654395886,0.0012417915283799985,2.711966037750244,0.018040062859654427
full,dow+1,1.7726190561032376,0.008717193235731502,2.940500020980835,0.01234701182693243
full,dow-1,1.76767027676358,0.0037684138960738522,2.854872465133667,0.0029720268212258816
